id	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_ROR2_1	MCF7_ROR2_2	MCF7_ROR2_3
ENSG00000006757.7	118	105.19	119.71	113.22	52.43	142.96
ENSG00000006788.7	0	0	0	0	0	0
ENSG00000006831.9	6107	6284	5999	6780	4950	8003.08
ENSG00000006837.6	113.8	120.26	100.69	118.94	75.07	102.05
ENSG00000007001.8	0	7	0	1	3	2
ENSG00000007038.6	0	0	0	1	0	1
ENSG00000007047.10	1148.56	1364.25	1134.9	1156.71	881.3	1510.1
ENSG00000007062.7	0	0	1	0	1	0
ENSG00000007080.6	2974.92	2742.6	2615.48	3187.64	2258.5	3175.6
ENSG00000007129.13	1	1	1	0	0	1
ENSG00000007168.7	6893.27	7786.93	7199.69	6447.8	5170.57	7541.76
ENSG00000007171.12	2	0	4	1	2	2
ENSG00000007174.12	20.79	13.44	22.12	16.74	9.89	27.59
ENSG00000007202.10	16886.38	18143.22	15302.98	17026.67	12293.14	18357.32
ENSG00000007216.10	0	1	0	1	0	0
ENSG00000007237.13	5.27	5.8	7.49	8.32	6.16	10.6
ENSG00000007255.6	973	1068	967	729	566	1080
ENSG00000007264.9	524.03	343.01	395.04	662.02	342.39	569.75
ENSG00000007306.10	2	2	9	2	0	3
ENSG00000007312.8	0	0	0	0	0	1
ENSG00000007314.7	1	1	0	0	1	1
ENSG00000007341.14	626.24	723.21	549.01	681.86	521.88	645.23
ENSG00000007350.12	0	0	0	0	0	0
ENSG00000007372.16	26.82	38	22	25	26	32
ENSG00000007376.3	2229.99	2037.88	2148.6	1795.8	1211.79	2181.94
ENSG00000007384.11	3034	3453.98	3144.96	2339	1758	3645.98
ENSG00000007392.12	2926.85	3560.62	3063.61	2546.11	2120.43	3237.7
ENSG00000007402.7	200.32	211.94	205.73	177.87	127.44	298.4
ENSG00000007516.9	946.04	927.1	827.78	502.41	429.52	986.93
ENSG00000007520.3	1412.96	1459.9	1387.22	1434.59	1050.48	1505.08
ENSG00000007541.10	1592.21	1834.34	1339.98	1147.26	793.96	1592.01
ENSG00000007545.11	3713.65	3788.57	3061.01	3076.91	2008.88	3516.94
ENSG00000007866.14	1809.07	2203.23	1828.1	1493.24	1081.27	2084.16
ENSG00000007908.10	1	0	1	0	1	1
ENSG00000007923.11	3526.18	3347.17	3215.42	3211.39	2212.59	3262.39
ENSG00000007933.8	8.85	4.34	5.88	2.34	3.24	4.63
ENSG00000007944.10	2245	2776	1901	2368	1757	2462
ENSG00000007952.13	5	12	10	6	6	14
ENSG00000007968.6	1631.98	1504.69	1370.84	1286.9	818.08	1313.6
ENSG00000008018.8	10738	11972	10217	11859	9547	11629
ENSG00000008056.8	9	14	17	9	5	12
ENSG00000008083.9	7993	8045	6499	8185	5357	8492
ENSG00000008086.6	221	253	284	174	138	277
ENSG00000008118.5	1	0	2	3	1	3
ENSG00000008128.18	2492.95	2864.7	2483.13	1932.26	1318.05	2262.06
ENSG00000008130.11	3871.9	4714.2	3380.84	2916.37	2324.28	3522.55
ENSG00000008196.8	1	2	1	0	0	0
ENSG00000008197.4	0	0	0	0	0	0
ENSG00000008226.15	24.15	34.85	12.84	17.68	15.18	20.28
ENSG00000008256.11	930	1006	1091	997	778	1299
ENSG00000008277.10	655	911	699	712	734	919
ENSG00000008282.3	8796.78	9121.65	8901.04	8952.56	7004.51	8511.63
ENSG00000008283.11	17637.3	17984.25	16842.41	17470.24	12151.8	20729.19
ENSG00000008294.16	7699.3	9250.06	7637.29	7497.61	6547.39	8353.18
ENSG00000008300.10	1662.57	1726.99	1545.14	1544.48	1030	1959.7
ENSG00000008311.10	37.11	42.25	42.11	39.31	33.69	68.3
ENSG00000008323.11	870.51	935	826.97	846.98	576	1002.43
ENSG00000008324.6	590.04	501	512.68	519.51	469	634.73
ENSG00000008382.11	1400.37	1508.38	1197.98	1300.3	932.34	1553.94
ENSG00000008394.8	7148.62	7667.71	6225.74	7925.65	5868.57	7272.01
ENSG00000008405.7	1172	1472	1264	1252	1114	1266
ENSG00000008438.4	3	5	6	3	1	3
ENSG00000008441.12	175.24	230.41	250.45	109.23	107.05	190.2
ENSG00000008513.10	6991.18	4181.5	6079.79	9124.88	3390.39	5349.91
ENSG00000008516.12	61.55	71.21	38.45	28.46	21.02	42.27
ENSG00000008517.12	17.22	11	5	10.04	17.94	14.2
ENSG00000008710.13	5246.96	5980.3	4570.92	3782.02	2779.63	5307.48
ENSG00000008735.10	183.32	211.18	244.39	189.87	142.46	225.84
ENSG00000008838.13	2108.05	2240.9	1827.54	1867.32	1411.49	2109.18
ENSG00000008853.12	1267.63	1293.15	1274.26	1183.73	861.26	1432.55
ENSG00000008869.7	3109.22	3214.46	2719	2971	2125.99	3537
ENSG00000008952.12	5765.35	5705.99	5356.37	6181.01	4833.33	6081.98
ENSG00000008988.5	28284.93	29145	24898.91	25208.78	17171.06	26742.13
ENSG00000009307.11	167070.15	166454.25	158132.55	171542.36	124252.05	172552.53
ENSG00000009335.13	8085.25	7632.52	7873	7331.84	5093.4	7721.65
ENSG00000009413.11	5439.87	5882.56	5588.49	5992.09	4610.09	6727.81
ENSG00000009694.9	13	13	8	4	2	10
ENSG00000009709.7	1	0	0	0	0	2
ENSG00000009724.12	53.08	66.99	41.62	35.74	29.73	41.65
ENSG00000009765.10	17.75	28.07	24.64	25.91	16.89	25.76
ENSG00000009780.11	431.49	450.28	403.7	370.39	295.05	421.62
ENSG00000009790.10	73	93	86	71	65	95
ENSG00000009830.7	2570.07	2330.62	2083.84	2527.88	1686.53	2586.51
ENSG00000009844.11	4339.07	4879.11	4270.94	4645.84	4044.01	4644.97
ENSG00000009950.11	378.38	342.6	335.11	359.5	264.28	614.23
ENSG00000009954.6	11745	11824	11390	14353	9950	14562
ENSG00000010017.9	3621.65	4036.27	3590.8	3698.17	2742.09	3861.09
ENSG00000010030.9	0	1	0	1	4	1
ENSG00000010072.11	802	902.72	855.1	912.36	698.98	980.67
ENSG00000010165.14	3969	4115	3717	3642	2519	3824
ENSG00000010219.9	130.31	128.6	115.13	145.15	89.17	119.35
ENSG00000010244.12	7769.13	8522.63	7740.74	7393.52	6231.28	8477.54
ENSG00000010256.6	5223	5629	4760	4364	3327	5302
ENSG00000010270.9	918.64	955.37	943	919.65	684	1046.41
ENSG00000010278.7	16331	19381	15405	13705	11037	15786
ENSG00000010282.10	0	0	1	0	1	0
ENSG00000010292.8	14931.59	22965.41	16443.74	13314.32	13580.25	17814.55
ENSG00000010295.15	15.51	16.78	20.36	19.23	9.18	18.11
ENSG00000010310.4	87.04	80.75	47.45	68	44.04	77.31
