id	MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_ROR2_1	MCF7_ROR2_2	MCF7_ROR2_3	pval	qval
ENSG00000223727	2.0	0.0	0.0	3.0	1.0	1.0	0.49664876732981095	1.0
ENSG00000168785	187.39	255.45	201.24	200.37	188.31	258.07	0.4967315709103072	1.0
ENSG00000234290	25.0	13.4	12.15	13.45	13.0	9.25	0.4967549296194833	1.0
ENSG00000249592	164.23	181.0	132.82	151.72	105.53	146.69	0.4968608542243393	1.0
ENSG00000131484	23.49	24.16	6.36	13.46	10.34	14.4	0.4968609098596414	1.0
ENSG00000189298	218.73	304.16	222.06	279.55	193.52	275.78	0.4969668383897671	1.0
ENSG00000228548	4.28	6.32	3.55	7.73	4.59	5.62	0.49699865982710034	1.0
ENSG00000225639	1.06	1.07	0.0	2.12	2.11	0.0	0.49705108604984716	1.0
ENSG00000177324	6.18	21.55	19.36	12.48	9.5	11.35	0.49705605360697946	1.0
ENSG00000135414	2065.0	1754.0	1825.0	2221.0	1259.0	2198.0	0.4970656354780422	1.0
ENSG00000157330	9.18	17.7	3.57	10.41	4.08	6.22	0.49706812192413136	1.0
ENSG00000222046	6.11	14.8	15.83	10.43	9.75	3.77	0.4971304228782402	1.0
ENSG00000143466	387.77	266.89	299.88	364.76	228.86	391.82	0.49719586073774563	1.0
ENSG00000134152	1278.71	1395.7	1420.34	1330.04	1218.31	1441.73	0.49721496137030524	1.0
ENSG00000110324	2.0	1.0	6.0	4.0	5.0	4.0	0.4972631154790463	1.0
ENSG00000207383	6.0	2.0	3.0	5.0	3.0	8.0	0.4972688202785608	1.0
ENSG00000068615	419.0	439.0	353.0	442.0	366.0	385.0	0.4972707610378756	1.0
ENSG00000123485	2792.9	4725.45	3918.19	2515.02	3199.68	3672.05	0.4973305294101806	1.0
ENSG00000241680	6.82	8.09	3.04	3.35	3.03	5.05	0.497344971285159	1.0
ENSG00000256849	6.44	8.58	4.27	4.28	3.2	5.35	0.49742219068141313	1.0
ENSG00000198632	10.97	15.11	7.16	9.58	4.37	10.41	0.4974381251820829	1.0
ENSG00000261408	205.26	313.42	250.58	219.34	138.16	300.21	0.4974688245095705	1.0
ENSG00000258001	8.3	7.15	10.66	6.07	3.6	8.54	0.49748245778164024	1.0
ENSG00000120833	964.46	1199.32	733.85	1044.98	802.3	1000.34	0.4975071006499673	1.0
ENSG00000104388	5626.0	6101.0	5569.0	5413.0	4291.0	5556.0	0.4975137209552614	1.0
ENSG00000147117	19.49	20.4	21.54	22.72	17.74	26.06	0.4975450910702967	1.0
ENSG00000176933	62.0	84.0	59.0	55.0	46.0	67.0	0.49758886661004126	1.0
ENSG00000218208	26.02	33.88	43.09	29.62	26.17	24.04	0.49760449643883936	1.0
ENSG00000204542	3.0	2.0	0.0	1.0	1.0	0.0	0.49766954636008237	1.0
ENSG00000119878	894.23	970.36	863.35	865.08	784.55	1008.41	0.4977097824964642	1.0
ENSG00000163832	1048.22	1137.99	1038.86	959.44	698.23	1198.81	0.4977242994762067	1.0
ENSG00000152939	3034.29	3407.92	2818.47	2855.99	2181.63	3175.33	0.4977508443316988	1.0
ENSG00000239650	0.0	10.35	8.74	24.92	6.34	0.0	0.49775793358258613	1.0
ENSG00000212993	20.16	24.7	9.83	17.96	9.24	13.44	0.49776264651001684	1.0
ENSG00000269996	456.0	614.0	478.0	395.0	398.0	518.0	0.49781205889032876	1.0
ENSG00000197928	63.26	76.93	68.68	86.76	55.33	74.07	0.49784235246937	1.0
ENSG00000226686	24.11	15.67	7.0	14.0	9.91	9.87	0.4978465768054564	1.0
ENSG00000253958	77.05	64.68	49.2	50.53	43.24	61.46	0.49787564460847694	1.0
ENSG00000165181	27.0	35.0	34.0	34.0	18.0	25.0	0.4979018035254815	1.0
ENSG00000241043	109.48	129.1	74.41	100.72	51.03	109.07	0.4979863229439829	1.0
ENSG00000166441	20036.03	18734.07	17332.37	19221.84	14141.04	21201.15	0.4980827597370539	1.0
ENSG00000135829	26062.6	25543.57	25363.68	24689.87	18375.8	25306.53	0.498173628388425	1.0
ENSG00000166046	290.11	231.99	244.14	325.89	164.09	309.35	0.49824636898711705	1.0
ENSG00000162702	1507.0	1555.0	1609.0	1612.0	1225.0	1733.0	0.4982812448012852	1.0
ENSG00000108423	7541.27	8352.11	8824.83	7037.54	6029.4	8706.23	0.49834229127717783	1.0
ENSG00000188452	27.0	68.0	32.04	27.0	30.0	39.0	0.49840771345698576	1.0
ENSG00000135083	246.56	197.41	208.01	273.28	153.11	245.75	0.49842364884798357	1.0
ENSG00000214719	659.27	824.61	590.94	694.57	578.58	758.49	0.49843934529310985	1.0
ENSG00000230550	2.0	5.05	2.41	1.02	3.02	0.0	0.49844444350167416	1.0
ENSG00000187266	288.0	403.0	274.0	236.0	228.0	348.0	0.4984954621028225	1.0
ENSG00000213160	621.02	497.97	613.01	689.99	431.31	633.11	0.4985233193714206	1.0
ENSG00000115977	532.78	604.88	504.51	575.54	403.46	649.72	0.4985244866925457	1.0
ENSG00000267118	31.92	34.12	18.61	22.99	17.72	26.5	0.4986041916595869	1.0
ENSG00000233337	10.0	7.0	9.0	7.0	3.0	9.0	0.4986074375109944	1.0
ENSG00000204070	1320.03	1433.93	1364.78	1363.83	1033.78	1649.49	0.4986160769470983	1.0
ENSG00000152422	587.0	626.0	611.0	486.0	500.0	558.0	0.49869602320497375	1.0
ENSG00000251477	0.0	3.0	2.0	1.0	1.0	0.0	0.4987117835835152	1.0
ENSG00000221909	555.0	539.76	452.0	518.98	422.17	583.0	0.49880788043705715	1.0
ENSG00000266777	92.28	92.19	76.65	80.11	62.21	135.89	0.49891772983167426	1.0
ENSG00000114423	1256.0	1256.93	1253.0	1166.1	742.0	1441.0	0.4989222523105729	1.0
ENSG00000176700	1206.62	1246.32	1043.03	1046.04	807.9	1227.23	0.4989313546696594	1.0
ENSG00000114013	3.0	3.0	0.0	5.0	2.0	3.0	0.49894684284142277	1.0
ENSG00000167601	14.8	19.88	22.57	33.34	13.63	18.62	0.49901051160912263	1.0
ENSG00000121964	452.0	468.0	505.0	491.0	402.0	519.0	0.4990111797646746	1.0
ENSG00000148948	4.0	11.0	6.0	2.0	4.0	8.0	0.4990744509685447	1.0
ENSG00000120526	3835.15	3690.15	3724.13	4126.1	3145.0	3660.06	0.49912420196701995	1.0
ENSG00000271723	14.01	24.71	16.28	14.97	10.21	16.83	0.49916510047041684	1.0
ENSG00000118363	3522.63	3172.76	2948.96	3356.21	2586.52	3423.67	0.4992122698896922	1.0
ENSG00000141933	229.53	250.24	258.39	224.27	180.09	223.34	0.4992422514775335	1.0
ENSG00000163428	7338.27	7233.94	6414.99	7495.57	5771.32	6997.0	0.4993397463421603	1.0
ENSG00000105866	526.19	602.52	509.31	497.6	394.63	527.8	0.4993664548592787	1.0
ENSG00000196371	309.32	393.05	350.82	274.8	256.9	367.49	0.49938028372038695	1.0
ENSG00000253552	12.87	22.83	21.39	17.37	7.32	19.87	0.4994202755653755	1.0
ENSG00000222328	100.59	49.99	55.58	191.47	27.49	43.13	0.49942309027197324	1.0
ENSG00000268790	775.81	707.02	646.18	822.51	553.16	730.08	0.4994791527113937	1.0
ENSG00000141527	326.99	388.42	310.22	266.21	189.65	429.53	0.49948588883081746	1.0
ENSG00000180999	5.0	9.0	5.0	11.0	5.0	7.0	0.4995701114791123	1.0
ENSG00000265933	3.01	5.05	1.01	0.0	2.01	3.07	0.4995716686780735	1.0
ENSG00000149554	1643.28	1475.79	1531.06	1657.26	1217.02	1683.08	0.49959022020286226	1.0
ENSG00000157856	3.0	3.0	1.0	3.0	4.0	3.0	0.49963726682145854	1.0
ENSG00000073009	2379.85	2447.83	2186.38	2162.51	1525.24	2571.85	0.49967175033657907	1.0
ENSG00000272211	25.45	22.38	20.99	25.67	15.61	10.3	0.4997081769527738	1.0
ENSG00000174038	17.6	18.76	13.27	16.66	11.36	7.9	0.49971076121517916	1.0
ENSG00000260912	343.0	340.0	369.0	326.0	251.0	328.0	0.49971729725121655	1.0
ENSG00000197670	204.89	259.17	179.23	211.22	140.91	192.6	0.4998014086921464	1.0
ENSG00000142230	12817.0	14885.94	13598.96	12446.99	9954.99	14235.98	0.4998185820895223	1.0
ENSG00000267872	13.8	19.96	7.57	17.26	12.35	16.55	0.4999454474879335	1.0
ENSG00000100276	14.0	32.0	28.0	29.0	15.0	42.0	0.5000028403558804	1.0
ENSG00000254721	568.73	513.9	413.0	463.01	278.0	562.3	0.5000582348882456	1.0
ENSG00000262521	1.0	0.0	1.0	0.0	2.0	3.0	0.5001668776873347	1.0
ENSG00000139990	3644.0	4078.0	3467.0	3607.0	2762.0	4572.0	0.500205955342728	1.0
ENSG00000232608	2.0	5.0	4.0	3.0	1.0	3.0	0.500237811114165	1.0
ENSG00000251602	125.33	152.34	115.42	106.72	78.84	147.79	0.5002875382793218	1.0
ENSG00000261801	1877.98	1824.18	1871.88	2130.22	1469.23	1861.76	0.5003463460656961	1.0
ENSG00000081386	1176.0	1423.0	1219.0	1072.0	978.0	1261.0	0.5003545806397502	1.0
ENSG00000171100	998.0	1194.0	983.0	1043.0	885.0	1158.0	0.5003642248957687	1.0
ENSG00000147604	57719.36	54401.01	50663.46	54824.36	37557.77	51954.18	0.5004550080605789	1.0
ENSG00000158156	268.18	225.57	243.82	208.16	148.18	281.64	0.5004561584369545	1.0
ENSG00000153113	6323.62	6141.91	6143.52	6064.23	4547.56	5785.64	0.5004569797785005	1.0
ENSG00000228629	1.0	3.03	1.05	0.0	2.0	0.0	0.5004937057487115	1.0
ENSG00000169660	783.77	1007.66	755.48	615.13	533.7	1051.17	0.5005175171093372	1.0
ENSG00000104969	2215.29	2158.63	2174.6	2243.8	1590.27	2612.32	0.5005254641717791	1.0
ENSG00000111186	5.0	1.0	5.0	7.0	0.0	12.0	0.5005345014170473	1.0
ENSG00000261377	4.08	7.12	6.77	2.38	2.59	6.34	0.5005981698771671	1.0
ENSG00000226564	73.05	50.06	58.44	68.51	39.18	36.5	0.5006250847371503	1.0
ENSG00000243014	5.77	7.79	7.84	6.7	7.76	11.13	0.5006440402346042	1.0
ENSG00000152463	18.13	38.2	21.04	36.6	18.28	30.45	0.500720581663235	1.0
ENSG00000157216	1592.34	1763.37	1512.42	1487.08	1087.92	1748.78	0.5007472013942338	1.0
ENSG00000243478	2.0	4.0	4.0	4.0	0.0	2.0	0.5007804953311948	1.0
ENSG00000174917	596.0	555.53	496.46	614.16	350.06	720.49	0.5007899469405409	1.0
ENSG00000253764	3.07	5.07	3.01	1.0	3.0	3.01	0.5008004572068616	1.0
ENSG00000257896	10.0	31.0	20.0	26.0	20.0	22.0	0.5010501716099424	1.0
ENSG00000197006	5595.67	5790.75	5785.94	5769.05	4697.79	6142.08	0.5010615428802269	1.0
ENSG00000234771	702.97	704.02	566.27	721.53	439.65	826.98	0.5010918592872735	1.0
ENSG00000134007	2.0	3.0	5.0	3.0	0.0	3.0	0.5012767879459994	1.0
ENSG00000167034	87.0	86.0	146.0	96.0	56.0	114.0	0.5013077167583004	1.0
ENSG00000241599	4.49	7.2	4.0	10.79	8.03	1.5	0.5013317088597941	1.0
ENSG00000213671	17.73	26.68	12.82	22.0	10.6	33.99	0.501354838522671	1.0
ENSG00000170004	14050.0	17147.0	11824.0	13210.0	9474.0	15267.44	0.5013729485699683	1.0
ENSG00000166888	620.47	531.58	427.88	541.2	259.91	568.49	0.5014078633761205	1.0
ENSG00000261634	3.0	0.0	4.0	0.0	0.0	2.73	0.5014189195474162	1.0
ENSG00000168159	3949.0	3686.0	3791.0	4000.0	2775.0	4453.0	0.501485678478203	1.0
ENSG00000260630	73.18	90.03	82.18	85.13	59.17	112.2	0.5014962558485058	1.0
ENSG00000184788	78.0	91.0	55.0	78.0	61.0	92.0	0.5015044319416682	1.0
ENSG00000264304	15.13	16.71	21.28	17.15	19.53	22.0	0.5015429083143347	1.0
ENSG00000210194	861.0	1041.0	730.0	912.0	650.0	1037.0	0.5016315879821998	1.0
ENSG00000182118	166.0	131.0	181.0	198.0	116.0	186.0	0.5016361779013064	1.0
ENSG00000117475	1494.61	1874.57	1638.2	1321.53	1342.12	1627.99	0.5018158210162852	1.0
ENSG00000164675	17.0	24.0	18.0	20.97	20.0	22.0	0.5018542492051143	1.0
ENSG00000226081	0.0	0.0	1.17	0.0	0.0	4.63	0.5018660381401104	1.0
ENSG00000214006	15.17	7.22	9.04	14.14	11.49	10.68	0.501889356412756	1.0
ENSG00000125995	1582.08	1836.31	1444.8	1601.79	1222.58	1929.23	0.5019224589841009	1.0
