id	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest	pval	qval
ENSG00000166206	2513.0	1388.0	98.0	19.0	3.086105833929361e-08	2.789939225673237e-06
ENSG00000188659	277.0	770.0	16.0	15.0	3.147052185539946e-08	2.8222763999922242e-06
ENSG00000125966	234.0	77.0	3.0	0.0	3.422836655754198e-08	3.021582580230502e-06
ENSG00000198626	592.0	190.0	12.0	19.0	3.423202387950703e-08	3.021582580230502e-06
ENSG00000165091	352.0	380.0	13.0	1.0	3.45123923444491e-08	3.0225306107912064e-06
ENSG00000285218	46.0	44.0	5881.0	1017.0	3.552439460312176e-08	3.0870423527208904e-06
ENSG00000131951	246.0	587.0	12.0	15.0	3.581439226414658e-08	3.0883025944698704e-06
ENSG00000077327	658.0	947.0	57.0	52.0	3.766891727600706e-08	3.2234241424735812e-06
ENSG00000089847	850.0	440.0	42.0	53.0	3.864402346884308e-08	3.2790195656535465e-06
ENSG00000197584	2265.0	443.0	24.0	3.0	3.904574044834322e-08	3.2790195656535465e-06
ENSG00000147642	263.0	94.0	4.0	0.0	3.929384283939351e-08	3.2790195656535465e-06
ENSG00000204967	736.0	435.0	54.0	43.0	3.9488638837040924e-08	3.2790195656535465e-06
ENSG00000135046	3.0	6.0	251.0	229.0	4.1126929958492725e-08	3.3899476826081132e-06
ENSG00000103540	6648.0	2570.0	370.0	223.0	4.2007122602227686e-08	3.437225141393959e-06
ENSG00000087245	30.0	29.0	562.0	697.0	5.0898927531461616e-08	4.1346157799107586e-06
ENSG00000139537	318.0	686.0	25.0	11.0	5.169647650259273e-08	4.169190658950105e-06
ENSG00000283297	120.0	134.0	3.0	3.0	5.590077332237944e-08	4.476054778170525e-06
ENSG00000124003	215.0	116.0	2.0	6.0	5.8579530062249485e-08	4.657280368778843e-06
ENSG00000102837	228.0	537.0	17.0	11.0	6.105454714686925e-08	4.819869531805665e-06
ENSG00000144810	17.0	9.0	270.0	469.0	6.272467493664908e-08	4.917088154124728e-06
ENSG00000101224	345.0	221.0	22.0	10.0	6.437071953672576e-08	5.011081708379833e-06
ENSG00000197256	14.0	3.0	307.0	282.0	6.734885481667395e-08	5.2067631896201035e-06
ENSG00000138642	618.0	220.0	26.0	9.0	7.179741978173036e-08	5.512664902419161e-06
ENSG00000157856	173.0	326.0	11.0	7.0	7.475463014819898e-08	5.6910998641546885e-06
ENSG00000234224	5435.0	5645.0	504.0	213.0	7.513673326448652e-08	5.6910998641546885e-06
ENSG00000198542	81.0	42.0	996.0	1071.0	7.625693659752336e-08	5.737182948041858e-06
ENSG00000165588	7.0	3.0	477.0	143.0	7.701793432771234e-08	5.755806958757702e-06
ENSG00000077274	46.0	47.0	1897.0	721.0	7.986042610234151e-08	5.9287111033592595e-06
ENSG00000143105	144.0	285.0	5.0	0.0	8.444742073644328e-08	6.227997279312692e-06
ENSG00000150893	93.0	88.0	1824.0	1304.0	8.828545971071772e-08	6.4684967539682725e-06
ENSG00000154358	274.0	97.0	4.0	6.0	8.909238057565896e-08	6.485231079565824e-06
ENSG00000188153	172.0	57.0	3151.0	1766.0	9.009586053448696e-08	6.515965139300638e-06
ENSG00000149488	393.0	138.0	7.0	0.0	9.1594245155376e-08	6.581868514049776e-06
ENSG00000196586	30461.0	15427.0	2031.0	1052.0	9.443834040001612e-08	6.743017808179495e-06
ENSG00000178053	4526.0	7045.0	339.0	93.0	1.0355236490345078e-07	7.346974750428375e-06
ENSG00000133083	545.0	180.0	11284.0	6179.0	1.0548264160102769e-07	7.43685793929258e-06
ENSG00000143674	10.0	5.0	205.0	287.0	1.0643880982375548e-07	7.457369113276868e-06
ENSG00000105971	14.0	16.0	574.0	281.0	1.1238890536900024e-07	7.825339311717347e-06
ENSG00000144642	416.0	207.0	7940.0	4092.0	1.3010046203826772e-07	9.00263073733939e-06
ENSG00000151012	422.0	429.0	23.0	38.0	1.322176090593703e-07	9.093002438991049e-06
ENSG00000143850	261.0	94.0	6.0	6.0	1.3475855548122025e-07	9.211240286246824e-06
ENSG00000125430	8607.0	3480.0	520.0	226.0	1.3621285938763417e-07	9.254219113547752e-06
ENSG00000177119	51.0	26.0	576.0	888.0	1.4426197762349396e-07	9.738606473879182e-06
ENSG00000162006	127.0	111.0	4.0	3.0	1.4508004292041244e-07	9.738606473879182e-06
ENSG00000112183	3419.0	3278.0	121.0	14.0	1.501845691320095e-07	1.0021244166487062e-05
ENSG00000117525	52.0	77.0	1476.0	1257.0	1.5148338314127207e-07	1.0048098964577868e-05
ENSG00000268975	127.0	46.0	1375.0	3438.0	1.5304927777134304e-07	1.0092249434216208e-05
