ensgeneid	sym	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSMUSG00000049299	Trappc1	150	52	243	292
ENSMUSG00000059149	Mfsd4	129	86	292	268
ENSMUSG00000084798	4930533B01Rik	292	20	41	1
ENSMUSG00000020137	Thap2	293	226	243	96
ENSMUSG00000020397	Med7	293	158	247	33
ENSMUSG00000020911	Krt19	6	1	132	293
ENSMUSG00000024228	Nudt12	293	134	165	82
ENSMUSG00000024867	Pip5k1b	12	8	46	293
ENSMUSG00000025134	Alyref	210	162	293	188
ENSMUSG00000026773	Pfkfb3	53	120	127	293
ENSMUSG00000026933	Camsap1	185	192	239	293
ENSMUSG00000027722	Spata5	293	142	128	128
ENSMUSG00000034607	Pof1b	32	9	293	11
ENSMUSG00000035441	Myo1d	126	28	250	293
ENSMUSG00000068134	Zfp120	253	197	293	66
ENSMUSG00000087431	Gm16054	293	89	32	21
ENSMUSG00000004032	Gstm5	217	94	264	294
ENSMUSG00000022023	Wbp4	221	153	294	188
ENSMUSG00000028863	Meaf6	294	157	211	141
ENSMUSG00000031691	Tnpo2	170	99	245	294
ENSMUSG00000032939	Nup93	205	133	294	176
ENSMUSG00000002688	Prkd1	42	19	279	295
ENSMUSG00000004044	Ptrf	42	20	130	295
ENSMUSG00000024349	Tmem173	295	143	6	24
ENSMUSG00000026584	Scyl3	295	101	241	95
ENSMUSG00000031214	Ophn1	192	83	295	183
ENSMUSG00000039110	Mycbpap	295	49	24	31
ENSMUSG00000057278	Snrpg	215	78	295	159
ENSMUSG00000090115	Usp49	279	114	295	253
ENSMUSG00000005621	Zfp592	283	96	185	296
ENSMUSG00000015536	Mocs2	165	194	296	291
ENSMUSG00000017386	Traf4	105	87	115	296
ENSMUSG00000022687	Boc	90	67	227	296
ENSMUSG00000023118	Sympk	112	81	102	296
ENSMUSG00000025795	Rassf3	296	151	103	142
ENSMUSG00000025873	Faf2	238	180	200	296
ENSMUSG00000030323	Ift122	186	296	179	149
ENSMUSG00000031556	Tm2d2	44	58	76	296
ENSMUSG00000034714	Ttyh2	2	18	14	296
ENSMUSG00000044317	Gpr4	296	94	14	23
ENSMUSG00000047604	Frat2	109	213	296	232
ENSMUSG00000056014	A430033K04Rik	177	157	296	72
ENSMUSG00000059991	Nptx2	38	182	296	14
ENSMUSG00000062866	Phactr2	163	62	276	296
ENSMUSG00000020614	Fam20a	17	6	176	297
ENSMUSG00000021385	Ippk	134	66	68	297
ENSMUSG00000022769	Sdf2l1	74	97	297	249
ENSMUSG00000024542	Cep192	262	137	297	210
ENSMUSG00000026260	Ndufa10	161	88	281	297
ENSMUSG00000029613	Eif2ak1	132	62	266	297
ENSMUSG00000037669	1110057K04Rik	117	63	297	238
ENSMUSG00000038374	Rbm8a	267	162	297	189
ENSMUSG00000042408	Zmym6	246	197	297	172
ENSMUSG00000049191	Rgag4	297	191	196	109
ENSMUSG00000056412	Gm12396	44	50	61	297
ENSMUSG00000078861	Zfp931	37	54	297	68
ENSMUSG00000002319	Ipo4	50	50	128	298
ENSMUSG00000020105	Lrig3	106	27	298	56
ENSMUSG00000022808	Snx4	178	250	252	298
ENSMUSG00000026482	Rgl1	162	298	58	69
ENSMUSG00000026622	Nek2	87	298	22	20
ENSMUSG00000030513	Pcsk6	197	111	298	229
ENSMUSG00000045441	Gprin3	21	49	298	226
ENSMUSG00000000759	Tubgcp3	296	299	288	251
ENSMUSG00000003541	Ier3	8	10	178	299
ENSMUSG00000006445	Epha2	16	27	60	299
ENSMUSG00000029863	Casp2	294	221	299	204
ENSMUSG00000050064	Zfp697	299	145	84	71
ENSMUSG00000052293	Taf9	83	299	78	126
ENSMUSG00000062169	Cnih4	233	132	299	245
ENSMUSG00000066129	Kndc1	299	43	8	14
ENSMUSG00000092416	Zfp141	142	95	299	141
ENSMUSG00000009090	Ap1b1	177	123	130	300
ENSMUSG00000015994	Fnta	196	137	295	300
ENSMUSG00000020409	Slu7	227	217	300	222
ENSMUSG00000020961	Ston2	58	44	249	300
ENSMUSG00000026277	Stk25	144	105	230	300
ENSMUSG00000032855	Pkd1	90	114	50	300
ENSMUSG00000033233	Trim45	300	54	26	13
ENSMUSG00000056296	Synpr	70	300	14	18
ENSMUSG00000056673	Kdm5d	200	90	300	149
ENSMUSG00000062376	2010012O05Rik	300	294	287	188
ENSMUSG00000081087	Rps15a-ps7	6	5	2	300
ENSMUSG00000017670	Elmo2	70	50	94	301
ENSMUSG00000022508	Bcl6	24	82	53	301
ENSMUSG00000027843	Ptpn22	150	301	9	38
ENSMUSG00000070576	Mn1	301	107	192	42
ENSMUSG00000002395	Use1	69	44	138	302
ENSMUSG00000011884	Gltp	190	250	93	302
ENSMUSG00000019558	Slc6a8	156	85	277	302
ENSMUSG00000023232	Serinc2	171	178	279	302
ENSMUSG00000025017	Pik3ap1	17	32	289	302
ENSMUSG00000027661	Slc2a10	73	25	302	53
ENSMUSG00000031990	Jam3	141	86	302	286
ENSMUSG00000036898	Zfp157	302	162	245	98
ENSMUSG00000043531	Sorcs1	296	172	113	302
ENSMUSG00000045104	Gm5514	221	117	217	302
ENSMUSG00000049907	Rasl11b	138	44	302	115
ENSMUSG00000051375	Pcdh1	123	69	92	302
ENSMUSG00000052712	BC004004	79	74	150	302
ENSMUSG00000066441	Rdh11	302	115	239	166
ENSMUSG00000068876	Cgn	169	126	302	205
ENSMUSG00000078954	Arhgap8	12	6	123	302
ENSMUSG00000003436	Dll3	303	152	5	2
ENSMUSG00000004626	Stxbp2	300	132	281	303
ENSMUSG00000016409	Nkap	303	169	250	208
ENSMUSG00000017288	Vps53	303	142	196	217
ENSMUSG00000024172	St6gal2	2	4	303	84
ENSMUSG00000046441	Ftsjd1	303	288	109	22
ENSMUSG00000061143	Maml3	96	61	195	303
ENSMUSG00000063052	Lrrc40	261	169	303	253
ENSMUSG00000063063	Ctnna2	131	303	83	197
ENSMUSG00000090942	F830016B08Rik	2	0	303	15
ENSMUSG00000000374	Trappc10	272	304	303	298
ENSMUSG00000020628	Ttc15	169	237	304	230
ENSMUSG00000026596	Abl2	304	200	226	238
ENSMUSG00000033016	Nfatc1	304	145	161	140
ENSMUSG00000034789	Rab24	304	98	116	181
ENSMUSG00000035885	Cox8a	219	227	202	304
ENSMUSG00000036188	Ankmy2	195	148	276	304
ENSMUSG00000045659	Plekha7	304	106	175	185
ENSMUSG00000085069	Gm13111	7	0	304	12
ENSMUSG00000020638	Cmpk2	33	42	305	53
ENSMUSG00000021065	Fut8	305	305	139	184
ENSMUSG00000021715	Cwc27	220	85	305	99
ENSMUSG00000053293	Pom121	124	68	119	305
ENSMUSG00000053930	Shisa6	9	305	2	1
ENSMUSG00000000308	Ckmt1	306	88	9	13
ENSMUSG00000005583	Mef2c	9	37	166	306
ENSMUSG00000038582	Pptc7	306	240	259	286
ENSMUSG00000049565	Aknad1	306	233	5	1
ENSMUSG00000004264	Phb2	307	127	196	217
ENSMUSG00000006307	Wbp7	139	99	135	307
ENSMUSG00000020496	Rnf187	60	43	214	307
ENSMUSG00000024423	Impact	307	144	273	221
ENSMUSG00000031729	2400003C14Rik	273	206	257	307
ENSMUSG00000032194	Kank2	14	3	307	282
ENSMUSG00000032905	Atg12	200	113	307	236
ENSMUSG00000043279	Trim56	38	36	307	283
ENSMUSG00000055493	Epm2a	284	131	307	86
ENSMUSG00000058392	Rrp1b	159	66	307	141
ENSMUSG00000007655	Cav1	4	1	25	308
ENSMUSG00000015846	Rxra	234	103	197	308
ENSMUSG00000025937	Lactb2	308	129	125	143
ENSMUSG00000033948	Zswim5	285	308	133	168
ENSMUSG00000036199	Ndufa13	47	81	57	308
ENSMUSG00000048769	na	51	96	116	308
ENSMUSG00000057706	Mex3b	239	238	308	128
ENSMUSG00000023044	Csad	110	20	309	199
ENSMUSG00000024566	Atp9b	309	178	283	236
ENSMUSG00000028214	Gem	17	215	309	270
ENSMUSG00000034154	Ino80	309	202	293	251
ENSMUSG00000034247	Plekhm1	59	80	71	309
ENSMUSG00000037656	Slc20a2	84	54	177	309
ENSMUSG00000042229	Rabif	309	166	159	127
ENSMUSG00000042719	Naa25	309	125	151	104
ENSMUSG00000055884	Fancm	309	132	286	208
ENSMUSG00000003435	Supt5h	120	110	141	310
ENSMUSG00000005897	Nr2c1	129	152	310	151
ENSMUSG00000016252	Atp5e	82	83	157	310
ENSMUSG00000021536	Adcy2	101	50	61	310
ENSMUSG00000023832	Acat2	214	171	310	175
ENSMUSG00000025478	Dpysl4	310	157	117	137
ENSMUSG00000058729	Lin9	310	77	184	124
ENSMUSG00000001761	Smo	48	63	112	311
ENSMUSG00000004885	Crabp2	34	10	311	75
ENSMUSG00000021340	Gpld1	160	78	48	311
ENSMUSG00000047036	Zfp445	311	264	286	277
ENSMUSG00000071793	2610005L07Rik	277	283	310	311
ENSMUSG00000087490	na	311	185	179	59
ENSMUSG00000089998	A130049A11Rik	311	239	12	8
ENSMUSG00000091537	Ccdc72	152	55	311	68
ENSMUSG00000004677	Myo9b	122	61	103	312
ENSMUSG00000009035	Tmem184b	241	121	157	312
ENSMUSG00000019173	Rab5c	217	61	312	294
ENSMUSG00000019494	Cops6	256	124	213	312
ENSMUSG00000020799	Tekt1	71	312	17	21
ENSMUSG00000026048	Ercc5	312	108	201	130
ENSMUSG00000030706	Mrpl48	162	62	312	265
ENSMUSG00000033075	Senp1	312	226	174	175
ENSMUSG00000035299	Mid1	62	139	312	149
ENSMUSG00000042659	Arrdc4	226	158	312	286
ENSMUSG00000055720	Ubl7	122	121	93	312
ENSMUSG00000060675	Pla2g16	312	224	59	89
ENSMUSG00000071281	Zfp71-rs1	100	66	312	91
ENSMUSG00000003662	Ciao1	313	151	307	125
ENSMUSG00000003810	Mast2	251	313	154	257
ENSMUSG00000018322	Tomm34	313	307	53	93
ENSMUSG00000031774	Fam192a	285	74	313	303
ENSMUSG00000032482	Cspg5	151	120	61	313
ENSMUSG00000034334	Fam151b	278	313	111	36
ENSMUSG00000034780	B3galt1	277	313	144	84
ENSMUSG00000041341	Atg2b	229	290	201	313
ENSMUSG00000053436	Mapk14	286	225	153	313
ENSMUSG00000085125	Gm16070	313	2	10	1
ENSMUSG00000014444	Fam38a	22	5	41	314
ENSMUSG00000020464	Pnpt1	314	159	240	148
ENSMUSG00000021209	Ppp4r4	314	47	76	64
ENSMUSG00000024234	Mtpap	225	161	314	204
ENSMUSG00000036023	Parp2	314	172	275	146
ENSMUSG00000054237	5730455O13Rik	240	171	314	52
ENSMUSG00000057421	Las1l	314	134	130	93
ENSMUSG00000067719	Gm10221	151	314	140	136
ENSMUSG00000017639	Rab11fip4	315	205	217	175
ENSMUSG00000018733	Pex12	220	123	315	109
ENSMUSG00000021707	Dhfr	138	137	315	149
ENSMUSG00000024966	Stip1	296	220	315	281
ENSMUSG00000027165	B230118H07Rik	315	304	241	135
ENSMUSG00000029389	Ddx55	315	154	120	65
ENSMUSG00000036339	6720456H20Rik	129	182	295	315
ENSMUSG00000036466	Megf11	276	315	82	55
ENSMUSG00000036980	Taf6	315	237	135	194
ENSMUSG00000040940	Arhgef1	48	20	160	315
ENSMUSG00000041607	Mbp	68	62	254	315
ENSMUSG00000042350	1110018G07Rik	198	80	231	315
ENSMUSG00000049939	Lrrc4	315	140	113	243
ENSMUSG00000068523	Gng5	288	190	315	158
ENSMUSG00000070880	Gad1	144	315	278	40
ENSMUSG00000071286	Sowahc	45	70	250	315
ENSMUSG00000073859	na	87	0	315	10
ENSMUSG00000079426	Arpc4	95	27	152	315
ENSMUSG00000030330	Ing4	316	196	296	277
ENSMUSG00000030521	Mphosph10	316	138	141	112
ENSMUSG00000038079	Tmem237	316	169	170	98
ENSMUSG00000044617	Zbtb39	286	129	316	278
ENSMUSG00000053094	0610007L01Rik	171	155	219	316
ENSMUSG00000078821	Gm17414	316	109	128	133
ENSMUSG00000087467	Gm13601	142	316	2	4
ENSMUSG00000006476	Nelf	85	61	100	317
ENSMUSG00000015869	Prpsap1	79	74	130	317
ENSMUSG00000019761	Krt10	144	200	317	59
ENSMUSG00000020448	Rnf185	149	149	225	317
ENSMUSG00000020777	Acox1	237	175	293	317
ENSMUSG00000021510	A530054K11Rik	227	164	317	97
ENSMUSG00000030055	Rab43	40	64	140	317
ENSMUSG00000040373	Cacng5	317	9	4	0
ENSMUSG00000042428	Mgat3	24	112	119	317
ENSMUSG00000056749	Nfil3	9	27	139	317
ENSMUSG00000059401	Mamld1	48	10	317	289
ENSMUSG00000061311	Rag1	317	127	8	21
ENSMUSG00000010054	Tusc2	318	49	71	56
ENSMUSG00000019979	Apaf1	76	100	318	255
ENSMUSG00000021258	Ccnk	296	298	318	270
ENSMUSG00000030591	Psmd8	124	103	120	318
ENSMUSG00000034430	Zxdc	318	202	210	287
ENSMUSG00000038020	Rapgefl1	318	139	71	125
ENSMUSG00000054723	Vmac	125	68	250	318
ENSMUSG00000060147	Serpinb6a	318	117	199	155
ENSMUSG00000067818	Myl9	192	23	178	318
ENSMUSG00000002365	Snx9	99	64	217	319
ENSMUSG00000014606	Slc25a11	276	319	188	267
ENSMUSG00000025086	Trub1	319	241	145	108
ENSMUSG00000032563	Mrpl3	319	278	191	172
ENSMUSG00000044043	Pcdhb14	73	74	319	187
ENSMUSG00000044288	Cnr1	73	19	319	190
ENSMUSG00000051037	Zfp455	7	42	319	59
ENSMUSG00000061559	Wdr61	229	205	319	307
ENSMUSG00000002799	Jag2	320	215	12	41
ENSMUSG00000005370	Msh6	263	138	297	320
ENSMUSG00000044708	Kcnj10	177	101	185	320
ENSMUSG00000045411	2410002F23Rik	286	166	215	320
ENSMUSG00000046807	AI646023	8	13	228	320
ENSMUSG00000050619	Zscan29	302	218	320	226
ENSMUSG00000053550	Shisa7	7	7	176	320
ENSMUSG00000055963	Gm11818	221	320	171	104
ENSMUSG00000073147	5031425E22Rik	320	225	264	95
ENSMUSG00000020528	Prpsap2	169	129	321	140
ENSMUSG00000038806	BC031781	321	170	236	285
ENSMUSG00000044452	Zfp507	318	321	155	170
ENSMUSG00000056004	9330182L06Rik	321	64	86	34
ENSMUSG00000056598	Lrrc48	321	317	23	14
ENSMUSG00000072501	Phf20l1	321	258	249	201
ENSMUSG00000018001	Cyth3	158	64	210	322
ENSMUSG00000028521	Slc35d1	140	151	151	322
ENSMUSG00000030619	Eed	299	322	260	181
ENSMUSG00000030960	Mettl10	269	211	322	162
ENSMUSG00000031826	Usp10	166	148	225	322
ENSMUSG00000039001	Rps21	37	23	64	322
ENSMUSG00000055415	Atp10b	34	7	317	322
ENSMUSG00000068663	Clec16a	263	250	320	322
ENSMUSG00000093077	Mir5105	214	0	322	15
ENSMUSG00000005225	Plekha8	142	144	323	237
ENSMUSG00000028861	Mrps15	323	69	153	102
ENSMUSG00000041126	H2afv	140	81	323	166
ENSMUSG00000053560	Ier2	30	46	108	323
ENSMUSG00000070639	Lrrc8b	284	102	323	179
ENSMUSG00000074088	Snrnp40	323	234	184	129
ENSMUSG00000010392	Gosr1	228	154	324	253
ENSMUSG00000017550	Atad5	228	165	324	142
ENSMUSG00000019769	Syne1	63	287	324	66
ENSMUSG00000021610	Clptm1l	94	49	324	295
ENSMUSG00000029062	Cdk11b	301	140	324	258
ENSMUSG00000029217	Tec	324	180	116	124
ENSMUSG00000029651	Mtus2	324	301	185	205
ENSMUSG00000031819	Cox4nb	221	131	198	324
ENSMUSG00000031928	Mre11a	324	168	166	134
ENSMUSG00000051678	Pcdhb6	191	226	324	89
ENSMUSG00000054091	1810037I17Rik	193	304	324	174
ENSMUSG00000058135	Gstm1	26	11	55	324
ENSMUSG00000060438	Rps10-ps1	29	18	49	324
ENSMUSG00000000125	Wnt3	16	23	6	325
ENSMUSG00000002221	Paxip1	325	208	223	206
ENSMUSG00000022772	Senp5	325	154	202	115
ENSMUSG00000023846	Riok2	179	89	325	210
ENSMUSG00000025212	Sfxn3	175	103	93	325
ENSMUSG00000028497	Ptplad2	18	25	185	325
ENSMUSG00000038650	Rnh1	107	17	148	325
ENSMUSG00000073176	Zfp449	325	56	187	46
ENSMUSG00000020305	Asb3	247	202	326	163
ENSMUSG00000022749	Tbc1d23	318	174	326	182
ENSMUSG00000028059	Arhgef2	123	87	205	326
ENSMUSG00000042046	Dstyk	326	174	315	315
ENSMUSG00000069972	Gm10159	42	128	91	326
ENSMUSG00000073102	Ccdc164	173	326	11	7
ENSMUSG00000001729	Akt1	86	50	141	327
ENSMUSG00000039917	Rhbdd2	327	247	116	170
ENSMUSG00000061689	Dlgap4	140	116	208	327
ENSMUSG00000071419	Rps15-ps2	16	10	17	327
ENSMUSG00000001157	Gmcl1	328	209	256	185
ENSMUSG00000003037	Rab8a	120	77	155	328
ENSMUSG00000023156	Rpp14	328	128	227	131
ENSMUSG00000028164	Manba	43	129	238	328
ENSMUSG00000035958	Tdp2	270	180	328	127
ENSMUSG00000038886	Man2a2	199	147	226	328
ENSMUSG00000044934	Zfp367	245	174	328	193
ENSMUSG00000047242	Taf9b	328	307	252	100
ENSMUSG00000057181	5730455P16Rik	308	328	275	190
ENSMUSG00000083832	Gm13771	328	152	304	164
ENSMUSG00000020038	Cry1	161	104	329	316
ENSMUSG00000021798	Ldb3	329	241	27	1
ENSMUSG00000022174	Dad1	155	62	258	329
ENSMUSG00000027552	E2f5	276	217	329	172
ENSMUSG00000033272	Slc35a4	107	88	107	329
ENSMUSG00000033491	Prss35	56	132	329	61
ENSMUSG00000034709	Klraq1	329	115	154	301
ENSMUSG00000035245	Eogt	206	119	324	329
ENSMUSG00000035781	C030046I01Rik	194	69	134	329
ENSMUSG00000037940	Inpp4b	199	95	329	14
ENSMUSG00000039789	Zfp597	329	310	313	142
ENSMUSG00000046753	Ccdc66	329	222	117	56
ENSMUSG00000089862	Gm16039	329	126	107	94
ENSMUSG00000006782	Cnp	232	96	109	330
ENSMUSG00000028434	Epb4.1l4b	119	107	222	330
ENSMUSG00000030739	Myh14	55	13	105	330
ENSMUSG00000033917	Gde1	162	176	218	330
ENSMUSG00000035473	Galm	21	10	330	165
ENSMUSG00000040550	Otud6b	242	210	330	256
ENSMUSG00000045382	Cxcr4	77	27	330	27
ENSMUSG00000047832	Cdca4	129	119	189	330
ENSMUSG00000085133	B930095G15Rik	145	313	330	244
ENSMUSG00000006057	Atp5g1	147	323	70	331
ENSMUSG00000013593	Ndufs2	188	121	265	331
ENSMUSG00000020142	Slc1a4	249	331	156	230
ENSMUSG00000020651	Slc26a4	7	24	331	242
ENSMUSG00000022400	Rbx1	148	95	331	262
ENSMUSG00000024735	Prpf19	253	205	188	331
ENSMUSG00000027984	Hadh	70	101	277	331
ENSMUSG00000031843	Mphosph6	331	96	206	81
ENSMUSG00000043300	B3galnt1	69	331	111	72
ENSMUSG00000045969	Ing1	142	123	234	331
ENSMUSG00000051497	Kcnj16	157	144	331	156
ENSMUSG00000020780	Srp68	332	220	203	318
ENSMUSG00000030545	Pex11a	136	81	332	55
ENSMUSG00000035107	Dcbld2	221	208	271	332
ENSMUSG00000037791	Phf12	143	74	155	332
ENSMUSG00000041303	Gtf3c3	332	222	179	182
ENSMUSG00000047909	Ankrd16	332	93	198	141
ENSMUSG00000059273	Zc3h4	208	125	253	332
ENSMUSG00000063856	Gpx1	34	51	119	332
ENSMUSG00000072582	Ptrh2	332	134	193	106
ENSMUSG00000079104	Prps1l3	273	332	196	191
ENSMUSG00000008683	Rps15a	72	46	115	333
ENSMUSG00000015697	Setdb1	333	185	331	277
ENSMUSG00000029578	Wipi2	167	102	133	333
ENSMUSG00000030602	Pak4	79	50	312	333
ENSMUSG00000031657	Heatr3	333	246	249	262
ENSMUSG00000036644	Tbc1d9b	107	103	193	333
ENSMUSG00000046607	Hrk	333	133	21	5
ENSMUSG00000004642	Slbp	234	155	334	300
ENSMUSG00000022822	Abcc5	308	214	248	334
ENSMUSG00000027937	Jtb	334	203	255	121
ENSMUSG00000028878	Fam76a	248	334	281	224
ENSMUSG00000028957	Per3	91	105	245	334
ENSMUSG00000029311	Hsd17b11	12	14	334	246
ENSMUSG00000031144	Syp	334	44	4	9
ENSMUSG00000031376	Atp2b3	334	124	7	4
ENSMUSG00000032435	Dync1li1	334	256	169	203
ENSMUSG00000037999	Arap2	120	334	251	150
ENSMUSG00000038564	Ift172	334	222	117	168
ENSMUSG00000050677	Ccdc96	334	305	29	13
ENSMUSG00000060073	Psma3	300	196	334	264
ENSMUSG00000062115	Rai1	283	79	228	334
ENSMUSG00000082195	Gm13034	3	334	0	51
ENSMUSG00000085615	A330035P11Rik	178	204	334	109
ENSMUSG00000001998	Ap4e1	335	140	267	149
ENSMUSG00000003992	Ssbp2	231	209	285	335
ENSMUSG00000015944	Gatsl2	335	196	172	171
ENSMUSG00000017286	Glod4	170	138	265	335
ENSMUSG00000022299	Slc25a32	335	272	292	157
ENSMUSG00000028832	Stmn1	34	335	38	127
ENSMUSG00000029063	Nadk	141	90	156	335
ENSMUSG00000029699	Srcrb4d	16	58	15	335
ENSMUSG00000033790	Tubgcp5	312	180	335	179
ENSMUSG00000038828	Tmem214	195	120	230	335
ENSMUSG00000038859	Baiap2l1	91	45	335	245
ENSMUSG00000048960	Prex2	47	15	335	118
ENSMUSG00000087671	na	135	335	20	42
ENSMUSG00000091478	Gm10039	23	24	24	335
ENSMUSG00000008668	Rps18	87	84	100	336
ENSMUSG00000020023	Tmcc3	96	84	280	336
ENSMUSG00000020696	Rffl	336	206	170	164
ENSMUSG00000025198	Erlin1	142	125	336	204
ENSMUSG00000026029	Casp8	124	33	336	182
ENSMUSG00000052353	9930013L23Rik	336	13	139	98
ENSMUSG00000005667	Mthfd2	337	87	27	16
ENSMUSG00000022498	Txndc11	206	112	244	337
ENSMUSG00000027067	Ssrp1	226	159	274	337
ENSMUSG00000030035	Wbp1	281	211	238	337
ENSMUSG00000032551	1110059G10Rik	168	114	337	114
ENSMUSG00000035171	1110059E24Rik	160	330	337	324
ENSMUSG00000050627	Gpd1l	232	337	280	219
ENSMUSG00000053838	Nudcd3	326	252	228	337
ENSMUSG00000078670	Fam174b	43	64	337	213
ENSMUSG00000020453	Patz1	208	135	322	338
ENSMUSG00000021009	Ptpn21	338	141	164	183
ENSMUSG00000028799	Zfp362	94	46	271	338
ENSMUSG00000033498	Strc	338	160	6	1
ENSMUSG00000037071	Scd1	50	17	136	338
ENSMUSG00000039601	Rcan2	55	329	40	338
ENSMUSG00000067058	Rps15a-ps5	0	121	15	338
ENSMUSG00000072623	Zfp9	169	75	338	247
ENSMUSG00000006356	Crip2	50	62	218	339
ENSMUSG00000025925	Terf1	284	134	339	127
ENSMUSG00000030718	Ppme1	339	238	220	257
ENSMUSG00000044068	Zrsr1	339	146	261	130
ENSMUSG00000061306	Slc38a10	315	76	331	339
ENSMUSG00000090553	Snrpe	109	60	339	112
ENSMUSG00000022024	Sugt1	264	251	340	196
ENSMUSG00000024130	Abca3	49	56	68	340
ENSMUSG00000035529	Prdm4	218	178	340	318
ENSMUSG00000039057	Myo16	340	188	7	10
ENSMUSG00000039431	Mtmr7	340	203	65	47
ENSMUSG00000001016	Ilf2	341	180	289	330
ENSMUSG00000010914	Pdhx	341	86	204	138
ENSMUSG00000014850	Msh3	341	256	159	216
ENSMUSG00000022354	Ndufb9	195	133	188	341
ENSMUSG00000024231	Cul2	317	180	341	246
ENSMUSG00000028847	Trappc3	132	151	185	341
ENSMUSG00000030127	Cops7a	77	70	202	341
ENSMUSG00000032309	Fbxo22	208	183	341	199
ENSMUSG00000033972	Zfp944	284	155	341	86
ENSMUSG00000035828	Pim3	21	28	83	341
ENSMUSG00000036775	Decr2	36	90	148	341
ENSMUSG00000042156	Dzip1	111	121	305	341
ENSMUSG00000042211	Fbxo38	301	341	332	290
ENSMUSG00000047986	Palm3	341	72	8	0
ENSMUSG00000061838	Suclg2	53	47	341	232
ENSMUSG00000081792	Anp32b-ps1	27	82	71	341
ENSMUSG00000082051	Gm16072	341	296	313	90
ENSMUSG00000000085	Scmh1	326	321	263	342
ENSMUSG00000003135	D1Bwg0212e	239	209	342	306
ENSMUSG00000004054	Map3k11	27	6	46	342
ENSMUSG00000020457	Drg1	252	152	342	260
ENSMUSG00000022972	1110004E09Rik	330	321	301	342
ENSMUSG00000027679	Dnajc19	342	182	261	96
ENSMUSG00000036923	Stox1	74	342	71	74
ENSMUSG00000038126	Mphosph9	342	304	143	174
ENSMUSG00000039676	Capsl	342	306	35	53
ENSMUSG00000040774	Cept1	276	187	342	141
ENSMUSG00000045078	Rnf216	180	123	235	342
ENSMUSG00000073676	Hspe1	154	106	242	342
ENSMUSG00000000711	Rab5b	161	219	287	343
ENSMUSG00000006412	Pfdn2	298	188	343	173
ENSMUSG00000021013	Ttc8	285	343	341	283
ENSMUSG00000022604	Cep97	343	270	221	190
ENSMUSG00000022634	Yaf2	192	97	292	343
ENSMUSG00000030530	Furin	159	57	257	343
ENSMUSG00000033628	Pik3c3	343	266	276	273
ENSMUSG00000038827	BC026590	343	239	148	228
ENSMUSG00000041624	Gucy1a2	230	14	343	63
ENSMUSG00000047866	Lonp2	268	292	343	300
ENSMUSG00000062444	Ap3b2	343	237	14	3
ENSMUSG00000062591	Tubb4a	17	24	103	343
ENSMUSG00000028212	Ccne2	344	82	133	64
ENSMUSG00000033386	Frrs1	80	48	279	344
ENSMUSG00000034321	Exosc1	344	276	150	109
ENSMUSG00000034673	Pbx2	188	106	336	344
ENSMUSG00000046204	Pnma2	344	31	12	0
ENSMUSG00000004789	Dlst	345	212	324	329
ENSMUSG00000017311	Pyy	1	0	4	345
ENSMUSG00000019977	Hbs1l	345	197	239	238
ENSMUSG00000027330	Cdc25b	345	221	22	10
ENSMUSG00000032612	Usp4	280	162	281	345
ENSMUSG00000041886	Macc1	28	20	345	142
ENSMUSG00000046671	Fam54b	198	171	253	345
ENSMUSG00000052192	Gm5963	104	345	245	216
ENSMUSG00000061536	Sec22c	345	204	191	154
ENSMUSG00000005804	Pldn	289	218	346	279
ENSMUSG00000015766	Eps8	346	267	157	193
ENSMUSG00000020099	Unc5b	346	8	279	94
ENSMUSG00000021710	Nln	346	120	278	101
ENSMUSG00000022346	Myc	21	47	44	346
ENSMUSG00000024151	Msh2	255	189	241	346
ENSMUSG00000024697	Gna14	108	38	252	346
ENSMUSG00000034518	Hmgxb4	267	136	346	236
ENSMUSG00000036427	Gpi1	135	72	145	346
ENSMUSG00000038205	Prkab2	346	288	123	123
ENSMUSG00000058239	Usf2	200	16	346	109
ENSMUSG00000068740	Celsr2	207	106	264	346
ENSMUSG00000075486	Commd6	141	81	346	243
ENSMUSG00000020929	Eftud2	347	131	279	264
ENSMUSG00000021474	Sfxn1	347	292	274	82
ENSMUSG00000024268	Celf4	347	128	162	20
ENSMUSG00000024644	Cndp2	47	48	216	347
ENSMUSG00000039031	Arhgap18	347	165	241	236
ENSMUSG00000078193	Gm2000	1	347	8	184
ENSMUSG00000020520	Galnt10	26	13	87	348
ENSMUSG00000030264	Thumpd3	338	182	348	104
ENSMUSG00000033965	Slc16a2	74	108	233	348
ENSMUSG00000049807	Arhgap23	26	29	128	348
ENSMUSG00000054309	Cpsf3	259	208	285	348
ENSMUSG00000063972	Nr6a1	348	230	185	124
ENSMUSG00000072946	Ptgr2	228	193	348	341
ENSMUSG00000032902	Slc16a1	109	110	70	349
ENSMUSG00000058603	Rpl28-ps1	2	62	0	349
ENSMUSG00000078584	AU022252	349	181	329	170
ENSMUSG00000000194	Gpr107	128	59	213	350
ENSMUSG00000019969	Psen1	236	141	350	346
ENSMUSG00000020267	Hint1	66	73	319	350
ENSMUSG00000022665	Ccdc80	234	21	350	329
ENSMUSG00000028385	Snx30	198	73	350	122
ENSMUSG00000029860	Zyx	133	86	97	350
ENSMUSG00000036501	Fam13b	350	163	227	215
