ensgeneid	sym	HC1.coch	HC2.vest	Non.HC1.coch	Non.HC2.vest
ENSMUSG00000031385	Plxnb3	15	16	5	32
ENSMUSG00000031387	Renbp	0	0	9	32
ENSMUSG00000031749	St3gal2	32	12	32	31
ENSMUSG00000032346	Ooep	9	0	32	12
ENSMUSG00000032593	Amigo3	2	0	15	32
ENSMUSG00000033728	Lrrc14	31	14	19	32
ENSMUSG00000034997	Htr2a	32	2	0	6
ENSMUSG00000037703	Prosapip1	11	32	23	19
ENSMUSG00000037946	Fgd3	7	29	11	32
ENSMUSG00000040795	Iqcc	32	16	17	20
ENSMUSG00000041798	Gck	8	32	7	15
ENSMUSG00000041949	Tmco7	32	16	13	27
ENSMUSG00000042766	Trim46	32	8	6	16
ENSMUSG00000042845	Wfdc12	13	0	0	32
ENSMUSG00000043811	Rtn4r	32	0	0	1
ENSMUSG00000044551	9930012K11Rik	6	0	32	12
ENSMUSG00000046679	C87436	19	20	26	32
ENSMUSG00000046865	Fbl	19	32	9	27
ENSMUSG00000047720	4922502D21Rik	0	0	32	0
ENSMUSG00000049160	4930469G21Rik	32	12	3	5
ENSMUSG00000050410	Tcf19	0	0	0	32
ENSMUSG00000056481	Cd248	32	4	1	7
ENSMUSG00000056612	Ppp1r14b	3	0	30	32
ENSMUSG00000058586	Serhl	32	0	8	10
ENSMUSG00000058656	Samd12	2	5	32	32
ENSMUSG00000060376	Bckdha	14	6	4	32
ENSMUSG00000061894	Zscan20	32	8	31	18
ENSMUSG00000062101	Zfp119b	17	32	21	25
ENSMUSG00000062554	Gm12751	12	18	17	32
ENSMUSG00000062785	Kcnc3	32	28	10	21
ENSMUSG00000066760	Psg16	24	0	4	32
ENSMUSG00000068114	Ccdc134	8	9	13	32
ENSMUSG00000069070	na	15	0	32	5
ENSMUSG00000069196	Gm3511	5	5	4	32
ENSMUSG00000069588	Gm11733	32	13	0	4
ENSMUSG00000070583	Fv1	27	32	25	23
ENSMUSG00000071151	Gm4799	2	13	11	32
ENSMUSG00000072762	4930522L14Rik	2	7	32	18
ENSMUSG00000073702	Rpl31	21	32	25	24
ENSMUSG00000079671	2610203C22Rik	3	32	2	0
ENSMUSG00000080268	Brms1	32	18	2	28
ENSMUSG00000082127	Gm13577	0	17	0	32
ENSMUSG00000083328	Gm11826	1	1	0	32
ENSMUSG00000083356	Gm11708	8	0	32	0
ENSMUSG00000084145	Gm12263	22	6	26	32
ENSMUSG00000084885	3010001F23Rik	10	32	5	7
ENSMUSG00000085501	Gm11772	31	7	32	2
ENSMUSG00000086456	na	7	0	10	32
ENSMUSG00000087029	Gm14133	2	10	9	32
ENSMUSG00000087261	Gm15477	32	5	2	5
ENSMUSG00000087574	C030037D09Rik	32	12	24	17
ENSMUSG00000088789	Scarna13	7	0	32	0
ENSMUSG00000090389	Gm7236	11	20	27	32
ENSMUSG00000090905	na	10	13	32	4
ENSMUSG00000091803	Cox16	32	15	11	9
ENSMUSG00000091833	na	3	4	32	5
ENSMUSG00000091956	C2cd4b	0	4	21	32
ENSMUSG00000093459	5730480H06Rik	32	21	21	11
ENSMUSG00000093560	Gm6695	32	13	20	11
ENSMUSG00000001305	Rrp15	33	22	23	13
ENSMUSG00000004100	Ppan	20	8	12	33
ENSMUSG00000010362	Rdm1	0	3	19	33
ENSMUSG00000011752	Pgam1	17	26	24	33
ENSMUSG00000013150	Gfod2	33	16	29	23
ENSMUSG00000013367	Iglon5	17	16	33	32
ENSMUSG00000015533	Itga2	4	8	19	33
