ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
MIRLET7F1	0.05	0.05	0.05	0.05	0.05	0.05
MIRLET7F2	0.05	0.05	0.05	0.05	0.05	0.05
MIRLET7G	0.05	0.05	0.05	0.05	0.05	0.05
MIRLET7I	0.05	0.05	0.05	0.05	0.05	0.05
MIS12	294	264	315	475	372	416
MIS18A	139	131	139	846	955	935
MIS18BP1	287	289	287	1721	1271	1344
MISP	6	3	5	5	3	6
MITD1	150	165	160	395	347	359
MITF	25	19	13	36	27	37
MIXL1	5	4	3	6	9	5
MKI67	1066	713	830	2862	2042	2104
MKI67IP	338	359	328	936	1067	957
MKKS	291	280	251	578	562	523
MKL1	952	968	1232	462	534	450
MKL2	563	622	629	476	302	306
MKLN1	585	586	653	1087	1019	956
MKLN1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MKLN1-AS2	0.05	0.05	0.05	0.05	0.05	0.05
MKNK1	163	174	213	134	148	137
MKNK1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MKNK2	719	589	613	1143	1144	1314
MKRN1	832	906	946	1213	1160	1111
MKRN2	477	496	570	340	347	308
MKRN3	4	0.05	0.05	0.05	0.05	0.05
MKS1	79	79	85	226	235	203
MKX	5	11	8	8	22	32
MLANA	2	2	2	1	1	2
MLC1	2	1	0.05	1	0.05	1
MLEC	3531	3609	4223	4010	3329	3598
MLF1	74	92	69	226	226	194
MLF1IP	240	193	212	2388	1955	2000
MLF2	1266	1295	1412	1683	2134	2013
MLH1	448	439	449	979	1021	869
MLH3	216	210	264	362	265	236
MLIP	0.05	0.05	0.05	0.05	0.05	0.05
MLIP-IT1	0.05	0.05	0.05	0.05	0.05	0.05
MLK7-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MLKL	3	4	3	21	14	14
MLLT1	583	517	599.975	843.993	762.107	735.317
MLLT3	85	63	38	151	95	105
MLLT4	1839	1889	2057	4572	3541	3403
MLLT4-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MLLT6	560	592	689	94	91	66
MLLT10	567	552	606	1213	1078	1045
MLLT11	1893	1837	1926	813	909	827
MLN	0.05	0.05	0.05	2	0.05	0.05
MLNR	0.05	0.05	0.05	0.05	0.05	2
MLPH	70	52	58	219	92	117
MLST8	226	230	261	681	730	705
MLX	290	302	291	475	605	558
MLXIP	26	22	20	18	14	24
MLXIP	657	568	572	294	266	251
MLXIPL	0.05	1	0.05	88	47	60
MLYCD	72	92	84	169	145	136
MMAA	77	103	85	28	42	40
MMAB	88	112	138	149	169	114
MMACHC	33	33	32	162	135	155
MMADHC	941	1052	1124	1642	1986	1858
MMD	407	347	375	402	302	333
MMD2	0.05	0.05	0.05	0.05	2	0.05
MME	1391	1091	1686	194	244	278
MMEL1	0.05	0.05	0.05	5	5	4
MMGT1	502	591	565	445	450	472
MMP1	5	0.05	0.05	2	0.05	0.05
MMP2	16327	15864	16541	280	316	274
MMP3	0.05	0.05	0.05	0.05	0.05	0.05
MMP7	2	0.05	1	0.05	0.05	0.05
MMP8	0.05	0.05	0.05	0.05	0.05	0.05
MMP9	1370	1597	2258	13	15	13
MMP10	43	39	33	1	3	0.05
MMP11	86	66	74	81	33	100
MMP12	1	0.05	0.05	0.05	1	0.05
MMP13	0.05	0.05	0.05	0.05	1	0.05
MMP14	16047	16016	15979	474	369	421
MMP15	690	587	821	470	484	474
MMP16	132	70	93	233	235	296
MMP17	25	11	30	391	80	147
MMP19	43	36	37	93	103	103
MMP20	0.05	0.05	0.05	0.05	0.05	0.05
MMP21	0.05	1	0.05	0.05	0.05	0.05
MMP23B	92	94	104	14	10	8
MMP24	1013	1004	1076	1398	1171	1343
MMP24-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MMP25	20	14	13	46	103	91
MMP26	0.05	0.05	0.05	0.05	0.05	0.05
MMP27	0.05	0.05	0.05	0.05	0.05	0.05
MMP28	26	10	17	0.05	0.05	0.05
MMRN1	8	2	1	0.05	0.05	0.05
MMRN2	5	1	2	24	38	35
MMS19	738	725	785	1268	1187	1184
MMS22L	206	154	142	627	494	462
MN1	561	358	418	325	116	197
MNAT1	185	226	210	295	404	362
MND1	21	10	23	280	293	282
MNDA	0.05	0.05	0.05	0.05	0.05	0.05
MNF1	194	170	188	392	277	355
MNS1	14	6	11	79	129	102
MNT	298	286	323	324	388	306
MNX1	0.05	2	1	2	0.05	0.05
MNX1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MOAP1	204	238	218	249	207	192
MOB1A	1102	1187	1201	1013	833	863
MOB1B	716	807	867	630	569	566
MOB2	106	109	120	151	137	142
MOB3A	229	213	239	82	85	104
MOB3B	467	510	538	551	434	454
MOB3C	79	79	65	23	32	30
MOB4	552.167	823	664.167	838.067	844.833	756.067
MOBP	1	1	0.05	24	17	16
MOCOS	8	12	16	95	108	123
MOCS1	82	67	53	249	236	227
MOCS2	390	425	456	379	450	375
MOCS3	127	100	94	168	163	173
MOG	0.05	0.05	0.05	0.05	1	1
MOGAT1	0.05	0.05	0.05	0.05	0.05	0.05
MOGAT2	0.05	0.05	0.05	0.05	0.05	0.05
MOGAT3	0.05	0.05	0.05	3	6	1
MOGS	1231	1081	1236	572	690	626
MOK	37	22	13	28	21	14
MON1A	41	42	50	89	137	115
MON1B	327	345	342	351	338	306
MON2	669	634	702	476	428	428
MORC1	1	0.05	0.05	0.05	0.05	0.05
MORC2	582	588	636	907	768	886
MORC2-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MORC3	611	592	606	420	394	364
MORC4	613	639	668	121	95	126
MORF4L1	2056	2113	2187	3187	2828	2949
MORF4L2	7665	7792	8320	8645	10144	9442
MORF4L2-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MORN1	15	18	27	39	35	50
MORN2	68	47	36	93	90	99
MORN3	9	4	19	22	9	9
MORN4	65	74	59	198	180	216
MORN5	0.05	0.05	0.05	0.05	0.05	0.05
MOS	0.05	0.05	0.05	1	0.05	2
MOSPD1	452	538	446	223	278	241
MOSPD2	622	763	792	479	496	457
MOSPD3	107	96	103	94	89	83
MOV10	660	545	664	363	389	300
MOV10L1	12	2	9	1	1	3
MOXD1	230	121	109	31	33	46
MPC1	329	311	257	127	207	200
MPC1L	0.05	0.05	0.05	0.05	0.05	0.05
MPC2	363	476	507	368	416	389
MPDU1	404	323	363	618	678	667
MPDZ	1378	1665	2094	764	729	688
MPEG1	0.05	4	0.05	3	0.05	0.05
MPG	266	304	350	216	226	180
MPHOSPH6	138	132	158	339	301	302
MPHOSPH8	622	586	632	810	731	683
MPHOSPH9	132	98	105	368	380	293
MPHOSPH10	429	455	492	908	1090	875
MPI	85	85	108	309	400	339
MPL	4	2	1	9	7	5
MPLKIP	168	175	163	313	275	323
MPND	92	118	143	234	198	153
MPO	0.05	0.05	0.05	0.05	0.05	3
MPP1	84	45	61	60	165	110
MPP2	28	13	31	280	238	290
MPP3	38	25	39	25	22	38
MPP4	7	5	3	1	0.05	2
MPP5	735	777	803	606	535	582
MPP6	150	159	155	1105	1048	1010
MPP7	188	186	221	160	133	145
MPPE1	113	87	124	42	44	39
MPPED1	0.05	0.05	0.05	4	0.05	6
MPPED2	15	3	9	152	177	200
MPRIP	1756	1550	1784	1731	1473	1553
MPST	363	325	356	436	367	424
MPV17	180	165	179	340	255	317
MPV17L	2	3	3	64	68	76
MPV17L2	82	77	102	168	169	175
MPZ	4	10	7	21	50	30
MPZL1	4907	5619	5847	1041	768	797
MPZL2	290	247	187	24	18	19
MPZL3	190	226	195	59	70	75
MR1	41	23	33	1	1	0.05
MRAP	0.05	0.05	0.05	1	1	1
MRAP2	19	3	2	71	104	100
MRAS	615	730	914	198	197	211
MRC1	0.05	0.05	1	1	2	1
MRC2	2385	1726	2131	236	257	254
MRE11A	252	216	291	988	768	725
MREG	145	152	134	303	279	261
MRFAP1	2241	2430	2611	4376	4705	4637
MRFAP1L1	474	498	558	832	781	802
MRGBP	161	156	175	217	257	216
MRGPRD	0.05	0.05	0.05	0.05	0.05	0.05
MRGPRE	0.05	0.05	0.05	0.05	0.05	0.05
MRGPRF	5	5	3	213	141	145
MRGPRG	0.05	0.05	0.05	1	1	0.05
MRGPRG-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MRGPRX1	0.05	0.05	0.05	0.05	0.05	0.05
MRGPRX2	0.05	0.05	0.05	0.05	0.05	0.05
MRGPRX3	0.05	0.05	0.05	0.05	0.05	0.05
MRGPRX4	0.05	0.05	0.05	0.05	0.05	0.05
MRI1	229	179	186	169	227	220
MRM1	36	29	41	123	162	127
MRO	1	0.05	0.05	15	11	10
MROH1	329	318	359	200	182	157
MROH2A	0.05	0.05	0.05	1	1	0.05
MROH2B	0.05	0.05	0.05	0.05	0.05	0.05
MROH3P	0.05	0.05	0.05	0.05	0.05	0.05
MROH5	1	0.05	0.05	3	6	1
MROH6	11	17	23	21	13	15
MROH7	2	2	6	1	0.05	0.05
MROH8	35	31	46	26	26	25
MROH9	0.05	0.05	0.05	0.05	0.05	0.05
MRP63	153	146	192	417	405	495
MRPL1	242	207	239	638	739	660
MRPL2	176	151	186	299	392	354
MRPL3	725	658	781	1797	1969	1849
MRPL4	252	245	269	588	838	746
MRPL9	278	305	297	672	805	667
MRPL10	217	230	278	773	997	766
MRPL11	166	176	194	842	887	916
MRPL12	285	259	297	970	1342	1130
MRPL13	257	290	261	638	695	710
MRPL14	195	170	235	271	297	352
MRPL15	379	411	395	1220	1361	1344
MRPL16	145	152	156	570	620	591
MRPL17	374	418	415	371	482	448
MRPL18	222	231	273	533	566	597
MRPL19	591	613	620	1077	1013	1031
MRPL20	359	369	387	1029	1252	1176
MRPL21	162	141	184	364	527	443
MRPL22	151	201	197	504	540	506
MRPL23	231	198	247	434	406	391
MRPL23-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MRPL24	191	211	241	203	317	320
MRPL27	164	178	231	382	401	427
MRPL28	326	338	392	864	1095	982
MRPL30	467	482	509	965	901	914
MRPL32	240	201	216	585	648	632
MRPL33	343	400	395	336	308	309
MRPL34	156	127	135	350	343	394
MRPL35	312	288	277	689	762	648
MRPL36	103	76	105	183	203	200
MRPL37	550	532	535	1287	1326	1365
MRPL38	249	233	288	472	656	572
MRPL39	162	171	173	414	401	343
MRPL40	129	116	138	159	211	175
MRPL41	172	164	194	208	265	237
MRPL42	343	348	329	1121	1132	1125
MRPL43	259	260	279	372	448	424
MRPL44	237	273	299	537	553	579
MRPL45	250	284	308	776	928	799
MRPL46	123	132	102	227	251	230
MRPL47	371	337	338	989	1185	1032
MRPL48	103	124	151	270	269	296
MRPL49	358	346	401	593	689	670
MRPL50	156	150	176	581	597	548
MRPL51	675	701	817	1224	1473	1452
MRPL52	207	222	214	318	323	341
MRPL53	120	135	139	154	192	152
MRPL54	113	106	137	202	237	229
MRPL55	129	122	143	175	199	181
MRPS2	210	165	224	587	647	638
MRPS5	274	306	304	732	700	730
MRPS6	59.667	74.667	71	199	167	171.667
MRPS7	375	405	397	1007	1121	1053
MRPS9	245	303	285	963	1038	987
MRPS10	238	252	281	504	601	522
MRPS11	191	156	177	341	406	336
MRPS12	121	125	148	320	387	369
MRPS14	174	170	167	333	283	312
MRPS15	394	379	407	911	1026	983
MRPS16	519	486	552	1174	1195	1191
MRPS17	82	75	85	169	178	202
MRPS18A	156	162	167	467	548	513
MRPS18B	204	207	240	634	791	733
MRPS18C	59	57	67	166	228	197
MRPS21	390	390	414	902	874	912
MRPS22	219	216	259	458	511	483
MRPS23	289	316	304	617	724	656
MRPS24	105	106	103.5	410	252.5	517
MRPS25	994	1016	1123	1416	1410	1300
MRPS26	221	252	309	686	774	678
MRPS27	390	379	467	1267	1188	1064
MRPS28	140	111	118	296	319	275
MRPS30	190	166	197	616	772	668
MRPS31	142	180	187	460	506	464
MRPS33	193	218	223	421	439	436
MRPS34	344	314	338	1036	1116	1246
MRPS35	469	544	476	936	1048	983
MRPS36	137	177	162	195	188	225
MRRF	172	165	164	321	393	317
MRS2	377	440	461	2015	3063	2617
MRTO4	281	261	267	747	857	801
MRVI1	304	189	275	124	102	93
MRVI1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MS4A1	0.05	0.05	0.05	0.05	0.05	0.05
MS4A2	0.05	0.05	1	0.05	0.05	0.05
MS4A3	0.05	0.05	0.05	0.05	0.05	0.05
MS4A4A	0.05	0.05	0.05	0.05	0.05	0.05
MS4A4E	3	0.05	0.05	0.05	0.05	0.05
MS4A5	0.05	0.05	0.05	0.05	0.05	0.05
MS4A6A	0.05	0.05	0.05	0.05	0.05	0.05
MS4A6E	0.05	0.05	0.05	0.05	0.05	0.05
MS4A7	0.05	0.05	0.05	3	0.05	0.05
MS4A8	0.05	0.05	0.05	0.05	0.05	0.05
MS4A10	1	0.05	0.05	0.05	0.05	0.05
MS4A12	0.05	0.05	0.05	1	1	1
MS4A13	0.05	0.05	0.05	0.05	0.05	0.05
MS4A14	0.05	0.05	0.05	0.05	0.05	0.05
MS4A15	0.05	0.05	0.05	0.05	0.05	0.05
MS4A18	0.05	0.05	0.05	0.05	0.05	0.05
MSANTD1	1	0.05	3	1	5	4
MSANTD2	120	103	101	235	229	211
MSANTD3	454	526	488	454	404	355
MSANTD3-TMEFF1	183.667	130.833	137.667	808.833	461.917	549.833
MSANTD4	294	308	307	403	340	326
MSC	4	1	1	8	19	13
MSGN1	0.05	0.05	0.05	0.05	0.05	0.05
MSH2	496	486	475	2989	2861	2815
MSH3	273	271	339	558	599	513
MSH4	2	1	1	0.05	1	3
MSH5	49	27	33	115	149	131
MSH5-SAPCD1	0.05	0.05	0.05	0.05	0.05	0.05
MSH6	980	1000	1150	4810	3703	3819
MSI1	183	129	175	1043	722	925
MSI2	1426	1449	1448	1700	1013	1251
MSL1	1166	1185	1237	1488	1147	1221
MSL2	279	280	312	702	498	547
MSL3	558	527	568	441	376	382
MSLN	13	9	17	2	2	3
MSMB	0.05	0.05	0.05	0.05	0.05	0.05
MSMO1	1664	2066	2056	586	380	400
MSMP	38	40	42	38	34	41
MSN	3507	3294	3535	3256	3542	3237
MSR1	0.05	1	0.05	0.05	0.05	0.05
MSRA	54	58	59	61	41	46
MSRB1	130	119	134	199	266	232
MSRB2	160	140	189	166	181	173
MSRB3	982	1072	1159	23	19	16
MSS51	23	20	11	16	15	21
MST1	67	69	56	47	72	45
MST1L	27	32	38	40	28	37
MST1R	2	0.05	4	44	28	34
MST4	1479	1345	1592	2850	2432	2477
MSTN	2	2	1	0.05	0.05	1
MSTO1	252	224	269	416	448	387
MSX1	29	9	7	5	6	2
MSX2	490	391	497	15	9	5
MT1A	1	0.05	0.05	0.05	3	2
MT1B	13	21	26	5	37	18
MT1E	260	389	367	133	469	305
MT1F	102	112	123	56	155	116
MT1G	55	65	78	118	475	316
MT1H	23	27	37	64	234	160
MT1HL1	2	2	2	8	20	15
MT1M	2	3	2	12	61	26
MT1X	125	146	182	16	55	65
MT2A	553	701	797	261	717	544
MT3	0.05	0.05	0.05	0.05	0.05	0.05
MT4	0.05	0.05	0.05	0.05	0.05	0.05
MTA1	639	594	713	1635	1453	1450
MTA2	1015	882	1064	1511	1255	1343
MTA3	391	343	379	1649	1552	1632
MTAP	590	637	629	918	702	719
MTBP	43	46	45	234	221	191
MTCH1	1600	1580	1891	2258	2277	2298
MTCH2	672	819	801	1458	1529	1505
MTCP1	28	18	8	31	11	24
MTDH	1769	1743	1841	1179	1185	1141
MTERF	107	96	110	260	218	195
MTERFD1	123	122	130	353	335	325
MTERFD2	120	109	134	315	343	329
MTERFD3	70	65	87	159	121	134
MTF1	153	161	153	231	203	171
MTF2	466	396	457	1621	1610	1529
MTFMT	80	91	99	148	187	151
MTFP1	66	49	64	188	291	246
MTFR1	357	365	386	379	382	345
MTFR1L	403	417	426	345	307	337
MTFR2	40	20	21	110	141	123
MTG1	268	226	271	647	652	609
MTG2	136	115	130	154	153	193
MTHFD1	469	336	399	2461	2517	2515
MTHFD1L	871	1035	1039	972	1198	1146
MTHFD2	1173	1623	1599	1494	2016	1688
MTHFD2L	15	14	18	30	48	58
MTHFR	148	175	214	278	326	299
MTHFS	107	124	113	149	208	184
MTHFSD	122	87	128	123	108	117
MTIF2	315	326	326	806	776	702
MTIF3	231	253	229	328	294	294
MTL5	59	51	77	232	242	233
MTM1	136	143	140	233	287	225
MTMR1	412	470	458	460	460	499
MTMR2	692	692	762	1328	1529	1313
MTMR3	640	672	690	563	549	548
MTMR4	421	395	422	583	530	480
MTMR6	576	573	556	362	287	307
MTMR7	38	44	67	154	110	142
MTMR8	4	12	16	36	32	27
MTMR9	558	646	693	582	640	584
MTMR10	332	361	368	561	471	441
MTMR11	271.065	289.609	329.133	30.146	31.315	37.061
MTMR12	344	358	498	1509	1297	1263
MTMR14	258	264	264	608	673	630
MTNR1A	0.05	3	0.05	2	0.05	6
MTNR1B	2	0.05	0.05	0.05	0.05	1
MTO1	125	206	188	390	451	459
MTOR	995	921	1142	2422	2253	2229
MTOR-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MTPAP	211	182	193	615	594	568
MTPN	1046	1158.5	1179	982	1015	945.5
MTR	1048	984	1434	709	569	530
MTRF1	61	57	47	102	93	92
MTRF1L	180	176	173	295	272	272
MTRNR2L1	7	5	3	17	18	16
MTRNR2L2	168	226	174	370	433	430
MTRNR2L3	0.05	0.05	0.05	2	0.05	1
MTRNR2L4	1	1	0.05	2	6	1
MTRNR2L5	0.05	0.05	0.05	0.05	1	0.05
MTRNR2L6	1	4	3	2	6	7
MTRNR2L7	0.05	0.05	0.05	0.05	1	0.05
MTRNR2L8	607	677	547	1407	1526	1430
MTRNR2L9	47	57	52	120	112	115
MTRNR2L10	3	1	1	6	5	7
MTRR	183	167	178	532	508	522
MTSS1	77	38	38	110	69	75
MTSS1L	758	658	925	475	539	535
MTTP	1	0.05	0.05	9	5	10
MTUS1	191	216	288	166	133	115
MTUS2	33	50	93	10	14	9
MTUS2-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MTX1	168	144	164	273	315	315
MTX2	279	349	351	421	561	497
MTX3	273	300	302	697	637	605
MUC1	58	54	39	143	137	139
MUC2	0.05	0.05	0.05	0.05	1	0.05
MUC3A	22	19	22	321	261	319
MUC4	149	98	104	27	23	20
MUC5AC	0.05	0.05	0.05	0.05	0.05	0.05
MUC5B	0.05	0.05	0.05	1	3	3
MUC6	6	2	5	22	16	12
MUC7	0.05	1	0.05	0.05	0.05	0.05
MUC8	1	0.05	0.05	1	0.05	0.05
MUC12	4	2	2	8	14	12
MUC13	0.05	1	0.05	0.05	0.05	0.05
MUC15	29	9	5	0.05	0.05	0.05
MUC16	363	90	133	7	0.05	8
MUC17	0.05	0.05	0.05	0.05	0.05	1
MUC19	24	21	13	12	18	15
MUC20	18	16	13	7	9	6
MUC21	0.05	0.05	0.05	0.05	0.05	0.05
MUC22	0.05	0.05	1	0.05	0.05	0.05
MUCL1	0.05	0.05	1	0.05	0.05	0.05
MUL1	410	411	416	245	280	263
MUM1	430	373	453	760	653	631
MUM1L1	92	60	82	14	13	14
MURC	14	24	12	333	184	198
MUS81	353	335	395	293	324	355
MUSK	1	3	1	0.05	0.05	0.05
MUSTN1	7	2	7	9	6	7
MUT	305	342	357	550	375	409
MUTYH	61	45	69	468	473	431
MVB12A	176	164	171	217	257	243
MVB12B	239	236	262	157	134	146
MVD	237	274	294	241	247	285
MVK	96	96	123	88	66	78
MVP	526	422	419	10	5	10
MX1	86	232	175	203	232	225
MX2	2	13	15	98	105	98
MXD1	161	128	169	101	74	76
MXD3	319	356	339	636	763	732
MXD4	1066	877	1025	409	417	428
MXI1	142	130	92	75	103	82
MXRA5	3942	3840	7475	185	123	103
MXRA7	1879	1883	2025	355	259	282
MXRA8	2683.189	2307.786	2799.642	167.492	123.312	123.34
MYADM	4113	3653	4120	390	587	531
MYADML2	1	1	2	5	8	15
MYB	7	1	2	280	244	218
MYBBP1A	366	323	397	1172	1386	1132
MYBL1	227	236	142	152	115	95
MYBL2	277	206	258	2189	2301	2201
MYBPC1	0.05	0.05	0.05	0.05	1	0.05
MYBPC2	1	0.05	0.05	23	18	32
MYBPC3	3	0.05	0.05	9	0.05	0.05
MYBPH	0.05	0.05	0.05	0.05	0.05	0.05
MYBPHL	2	3	1	0.05	0.05	1
MYC	390	293	289	137	397	233
MYCBP	387	366	382	587	594	599
MYCBP2	538	564	638	942	707	737
MYCBP2-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MYCBPAP	2	4	1	8	12	5
MYCL	75	63	76	305	185	249
MYCN	164	173	201	1857	1233	1616
MYCNOS	0.05	0.05	0.05	0.05	0.05	0.05
MYCT1	1	4	3	5	8	3
MYD88	540	517	593	308	215	204
MYEF2	259	264	342	1044	796	880
MYEOV	1	0.05	1	1	1	0.05
MYEOV2	258	232	270	230	280	276
MYF5	0.05	0.05	0.05	0.05	0.05	1
MYF6	0.05	0.05	0.05	2	1	2
MYH1	0.05	0.05	0.05	1	1	1
MYH2	0.05	0.05	0.05	3	5	1
MYH3	15	9	12	43	70	52
MYH4	0.05	0.05	0.05	0.05	1	0.05
MYH6	1	0.05	0.05	0.05	1	1
MYH7	0.05	0.05	0.05	0.05	1	0.05
MYH7B	1	2	7	91	47	55
MYH8	0.05	0.05	0.05	1	0.05	0.05
MYH9	16864	16703	18649	3472	2896	2772
MYH10	6836	7265	8256	8758	6865	7142
MYH11	24	17	26	20	22	30
MYH13	1	1	0.05	2	1	0.05
MYH14	1328	1266	1501	565	507	490
MYH15	9	11	5	9	5	7
MYL1	1	0.05	0.05	0.05	1	0.05
MYL2	11	20	14	0.05	0.05	0.05
MYL3	3	1	11	3	8	3
MYL4	96	23	13	0.05	0.05	0.05
MYL5	25	39	40	52	61	42
MYL6	6429	6715	7659	3589	3177	3349
MYL6B	206	181	224	730	742	723
MYL7	1106	1418	1325	3	3	1
MYL9	8871	9253	10652	842	896	713
MYL10	2	0.05	0.05	1	1	0.05
MYL12A	2939	3627	3555	1534	1473	1545
MYL12B	2811	3453	3413	1421	1411	1400
MYLIP	148	113	187	392	296	309
MYLK	1393	1499	1511	188	115	129
MYLK-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MYLK2	3	1	2	7	6	6
MYLK3	19	4	3	9	5	4
MYLK4	28	21	36	5	6	4
MYLPF	3	4	4	5	3	4
MYNN	239	221	281	426	446	394
MYO1A	0.05	1	0.05	4	1	7
MYO1B	1228	1049	1177	1261	1232	1162
MYO1C	2222	2408	2863	797	816	839
MYO1D	1987	1925	2438	389	308	336
MYO1E	646	658	582	1735	1734	1703
MYO1F	4	5	4	4	9	13
MYO1G	0.05	0.05	0.05	2	2	1
MYO1H	2	3	1	7	3	5
MYO3A	5	5	5	96	108	91
MYO3B	13	14	18	32	4	6
MYO5A	994	944	997	682	746	706
MYO5B	901	982	1245	601	432	429
MYO5C	163	158	176	732	681	660
MYO6	1801	1886	2161	1482	1255	1125
MYO7A	16	7	5	40	33	46
MYO7B	17	10	5	0.05	0.05	0.05
MYO9A	618	667	730	458	381	395
MYO9B	1483	1312	1519	687	696	640
MYO10	908	772	798	6022	5103	5092
MYO15A	2	4	5	13	11	6
MYO16	13	8	13	0.05	1	2
MYO16-AS1	0.05	0.05	0.05	0.05	0.05	0.05
MYO18A	389.416	362.479	421.604	504.58	581.304	622.253
MYO18B	8	1	1	4	7	10
MYO19	406	410	515	588	593	531
MYOC	0.05	0.05	0.05	0.05	1	0.05
MYOCD	61	71	91	30	30	22
MYOD1	0.05	0.05	0.05	0.05	0.05	0.05
MYOF	4160	4028	3849	184	170	119
MYOG	0.05	0.05	0.05	0.05	0.05	0.05
MYOM1	12	12	18	6	4	6
MYOM2	8	4	13	10	10	15
MYOM3	14	3	7	0.05	1	3
MYOT	2	1	0.05	1	2	1
MYOZ1	241	272	270	65	42	46
MYOZ2	0.05	3	2	0.05	1	0.05
MYOZ3	27	17	17	208	179	190
MYPN	0.05	0.05	1	0.05	1	1
MYPOP	69	61	65	91	101	88
MYRF	1355	815	1165	85	51	48
MYRFL	7	2	3	27	3	13
MYRIP	0.05	0.05	1	63	68	75
MYSM1	475	497	557	1134	910	903
MYT1	0.05	0.05	0.05	2	2	4
MYT1L	0.05	0.05	1	0.05	1	1
MYZAP	9	11.667	12.714	32.095	8.381	8.774
MZB1	0.05	0.05	0.05	0.05	0.05	1
MZF1	110	98	126	114	111	126
MZT1	237	217	208	554	535	524
MZT2A	242	262	307	387	390	432
MZT2B	484	463	493	421	376	413
N4BP1	539	558	575	723	808	664
N4BP2	812	769	930	1320	1111	1118
N4BP2L1	22	15	17	36	28	45
N4BP2L2	481	507	521	683	628	587
N4BP2L2-IT2	0.05	0.05	0.05	0.05	0.05	0.05
N4BP3	129	94	172	226	280	287
N6AMT1	41	50	48	54	38	56
N6AMT2	40	45	49	45	69	55
NAA10	435	529	589	531	614	598
NAA11	0.05	0.05	0.05	0.05	0.05	0.05
NAA15	1002	990	936	3134	3048	2774
NAA16	188	156	168	584	521	472
NAA20	402	479	499	371	422	414
NAA25	420	403	441	1005	1093	945
NAA30	419	399	406	545	477	470
NAA35	501	499	474	624	595	526
NAA38	425	447	461	671	601	609
NAA40	277	254	268	884	990	940
NAA50	1074	1107	1145	3157	3242	3100
NAA60	326	329	389	407	453	435
NAAA	66	70	66	54	48	37
NAALAD2	328	136	119	221	74	88
NAALADL1	2	3	1	19	11	8
NAALADL2	64	48	81	13	2	3
NAALADL2-AS3	0.05	0.05	0.05	0.05	0.05	0.05
NAB1	609	574	618	389	334	355
NAB2	415	417	468	242	256	245
NABP1	399	356	369	40	43	40
NABP2	165	164	197	458	488	447
NACA	2187	2444	2519	5699	5688	5866
NACA2	509	563	556	1355	1219	1307
NACAD	184	144	160	169	171	175
NACC1	853	757	901	2358	2689	2522
NACC2	491	388	487	997	634	796
NADK	501	417	480	709	701	667
NADK2	402	428	457	330	306	260
NADSYN1	480	430	520	311	238	263
NAE1	584	600	610	2300	2027	2090
NAF1	103	118	128	313	402	347
NAGA	441	297	454	317	322	252
NAGK	735	666	781	371	581	492
NAGLU	317	276	366	234	277	210
NAGPA	100	64	75	99	112	93
NAGPA-AS1	0.05	0.05	0.05	0.05	0.05	0.05
NAGS	8	6	5	10	10	12
NAIF1	75	79	73	99	103	94
NAIP	13	18	12	17	23	26
NALCN	115	125	149	9	5	5
NALCN-AS1	0.05	0.05	0.05	0.05	0.05	0.05
NAMA	0.05	0.05	0.05	0.05	0.05	0.05
NAMPT	366	452	459	1210	1244	1066
NANOG	0.05	0.05	0.05	162	272	322
NANOGNB	0.05	0.05	0.05	0.05	0.05	0.05
NANOS1	115	81	85	92	113	113
NANOS2	0.05	0.05	0.05	1	0.05	0.05
NANOS3	3	1	5	0.05	0.05	0.05
NANP	91	80	87	132	110	98
NANS	331	325	343	332	398	425
NAP1L1	3515	3474	3510	10260	9117	9310
NAP1L2	52	46	40	430	521	472
NAP1L3	367	385	429	1914	1698	1694
NAP1L4	1311	1321	1339	2591	2365	2468
NAP1L5	1	2	2	1	2	3
NAPA	369	309	368	664	781	696
NAPA-AS1	0.05	0.05	0.05	0.05	0.05	0.05
NAPB	132	134	118	282	286	222
NAPEPLD	136	137	125	182	121	124
NAPG	386	412	411	435	412	410
NAPRT1	84	94	111	278	270	290
NAPSA	4	1	1	5	3	1
NARF	244	224	231	508	400	437
NARFL	153	133	189	218	234	208
NARG2	365	403	429	1261	1023	1096
NARR	0.05	4.857	0.05	0.333	0.333	0.05
NARS	1769	1966	1970	4880	5892	5187
NARS2	191	166	192	525	498	504
NASP	877	763	907	11943	9708	10286
NAT1	81	77	96	64	54	44
NAT2	2	1	0.05	4	3	5
NAT6	45	36	46	46.667	39.333	46.333
