ORF	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3
FGD2	0.05	0.05	0.05	3	0.05	1
FGD3	17	10	21	88	38	49
FGD4	273	300	325	875	830	817
FGD5	21	18	19	129	112	140
FGD5-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FGD6	464	488	524	1068	964	1068
FGF1	40	38	46	7	6	6
FGF2	175	207	123	3542	4170	3746
FGF3	0.05	0.05	0.05	0.05	0.05	1
FGF4	0.05	0.05	0.05	11	8	4
FGF5	0.05	1	3	0.05	0.05	0.05
FGF6	0.05	0.05	0.05	1	0.05	0.05
FGF7	5	4	5	6	1	3
FGF8	1	0.05	0.05	7	5	10
FGF9	6	13	18	4	0.05	0.05
FGF10	0.05	1	0.05	2	1	2
FGF11	71	27	38	245	270	268
FGF12	13	13	13	88	88	88
FGF13	12	8	8	284	344	327
FGF13-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FGF14	1	0.05	1	1	4	4
FGF14-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FGF14-AS2	0.05	0.05	0.05	0.05	0.05	0.05
FGF14-IT1	0.05	0.05	0.05	0.05	0.05	0.05
FGF16	0.05	0.05	0.05	2	2	1
FGF17	0.05	1	3	1	1	3
FGF18	14	0.05	6	19	8	8
FGF19	2	0.05	0.05	11	19	32
FGF20	0.05	2	0.05	0.05	0.05	0.05
FGF21	0.05	0.05	0.05	1	0.05	3
FGF22	0.05	2	0.05	2	2	3
FGF23	0.05	0.05	0.05	2	2	1
FGFBP1	1	1	0.05	1	1	0.05
FGFBP2	1	0.05	0.05	0.05	0.05	0.05
FGFBP3	22	21	24	229	178	189
FGFR1	517	365	339	9028	5452	6164
FGFR1OP	177	154	149	702	639	640
FGFR1OP2	297	305	317	354	353	364
FGFR2	904	637	756	2026	1478	1410
FGFR3	133	83	94	3080	1319	1940
FGFR4	12	9	5	283	266	305
FGFRL1	340	309	365	55	99	112
FGG	4	0.05	0.05	0.05	0.05	0.05
FGGY	52	62	84	104	91	79
FGL1	0.05	1	0.05	0.05	0.05	0.05
FGL2	0.05	0.05	0.05	0.05	0.05	0.05
FGR	0.05	0.05	0.05	1	3	7
FH	628	562	642	1006	981	891
FHAD1	6	0.05	1	19	11	17
FHDC1	189	193	188	581	650	635
FHIT	25	28	31	16	14	11
FHL1	97	57	53	522	461	522
FHL2	760	847	843	302	306	331
FHL3	367	303	334	135	150	157
FHL5	0.05	0.05	0.05	0.05	0.05	0.05
FHOD1	320	257	340	297	376	316
FHOD3	436	433	829	538	285	310
FIBCD1	5	4	2	15	5	9
FIBIN	40	6	13	8	18	11
FIBP	450	468	541	602	632	657
FICD	42	27	47	25	26	19
FIG4	237	258	279	373	338	363
FIGF	9	1	1	1	3	3
FIGLA	0.05	0.05	0.05	0.05	0.05	0.05
FIGN	275	267	288	394	337	276
FIGNL1	195	164	196	336	402	362
FIGNL2	285	208	243	846	473	610
FILIP1	55	19	30	507	248	303
FILIP1L	1917	2036	2284	8	0.05	6
FIP1L1	463	475	524	799	878	741
FIS1	471	450	553	537	660	626
FITM1	2	0.05	0.05	2	0.05	0.05
FITM2	29	23	17	10	6	8
FIZ1	124	114	145	162	166	179
FJX1	275	128	115	155	141	149
FKBP1A	2278	2562	2532	2416	2229	2309
FKBP1A-SDCBP2	0.05	0.05	0.05	0.05	0.05	0.05
FKBP1B	81	67	51	221	309	309
FKBP2	295	296	338	329	338	295
FKBP3	955	950	983	2634	2391	2661
FKBP4	1007	1074	1198	2953	3910	3490
FKBP5	51	62	61	793	645	630
FKBP6	3	1	2	2	1	2
FKBP7	267	220	235	48	28	30
FKBP8	1189	1147	1352	2301	2353	2213
FKBP9	1953	1899	1995	99	75	82
FKBP10	4982	3846	4514	1749	1643	1656
FKBP11	275	250	251	151	123	167
FKBP14	1268	1143	1151	137	121	140
FKBP15	429	403	445	401	415	370
FKBPL	32	42	45	96	116	128
FKRP	397	336	376	254	298	309
FKSG29	0.05	0.05	0.05	0.05	0.05	0.05
FKTN	427	408	407	425	303	300
FLAD1	229	212	254	649	747	733
FLCN	293	250	267	495	591	506
FLG	9	8	8	2	3	0.05
FLG-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FLG2	0.05	0.05	0.05	0.05	0.05	0.05
FLI1	18	34	19	1	0.05	1
FLI1-AS1	0.05	0.05	0.05	0.05	0.05	0.05
FLII	2494	2589	2725	2927	2588	2700
FLJ10038	0.05	0.05	0.05	0.05	0.05	0.05
FLJ10489	0.05	0.05	0.05	0.05	0.05	0.05
FLJ12825	0.05	0.05	0.05	0.05	0.05	0.05
FLJ13197	0.05	0.05	0.05	0.05	0.05	0.05
FLJ13224	0.05	0.05	0.05	0.05	0.05	0.05
FLJ14186	0.05	0.05	0.05	0.05	0.05	0.05
FLJ16171	0.05	0.05	0.05	0.05	0.05	0.05
FLJ16341	0.05	0.05	0.05	0.05	0.05	0.05
FLJ16779	0.05	0.05	0.05	0.05	0.05	0.05
FLJ20021	0.05	0.05	0.05	0.05	0.05	0.05
FLJ20444	0.05	0.05	0.05	0.05	0.05	0.05
FLJ20464	0.05	0.05	0.05	0.05	0.05	0.05
FLJ20712	0.05	0.05	0.05	0.05	0.05	0.05
FLJ21408	0.05	0.05	0.05	0.05	0.05	0.05
FLJ22184	44	27	51	474	356	393
FLJ22447	0.05	0.05	0.05	0.05	0.05	0.05
FLJ22763	0.05	0.05	0.05	0.05	0.05	0.05
FLJ23867	0.05	0.05	0.05	0.05	0.05	0.05
FLJ25363	0.05	0.05	0.05	0.05	0.05	1
FLJ25715	0.05	0.05	0.05	0.05	0.05	0.05
FLJ25917	0.05	0.05	0.05	0.05	0.05	0.05
FLJ26245	0.05	0.05	0.05	0.05	0.05	0.05
FLJ26850	0.05	0.05	0.05	0.05	0.05	0.05
FLJ27243	0.05	0.05	0.05	0.05	0.05	0.05
FLJ27255	0.05	0.05	0.05	0.05	0.05	0.05
FLJ27354	0.05	0.05	0.05	0.05	0.05	0.05
FLJ27502	0.05	0.05	0.05	0.05	0.05	0.05
FLJ30375	0.05	0.05	0.05	0.05	0.05	0.05
FLJ30403	0.05	0.05	0.05	0.05	0.05	0.05
FLJ30679	0.05	0.05	0.05	0.05	0.05	0.05
FLJ30838	0.05	0.05	0.05	0.05	0.05	0.05
FLJ31104	0.05	0.05	0.05	0.05	0.05	0.05
FLJ31306	0.05	0.05	0.05	0.05	0.05	0.05
FLJ31356	0.05	0.05	0.05	0.05	0.05	0.05
FLJ31662	0.05	0.05	0.05	0.05	0.05	0.05
FLJ31945	0.05	0.05	0.05	0.05	0.05	0.05
FLJ32756	0.05	0.05	0.05	0.05	0.05	0.05
FLJ32790	0.05	0.05	0.05	0.05	0.05	0.05
FLJ33360	0.05	0.05	0.05	0.05	0.05	0.05
FLJ33534	0.05	0.05	0.05	0.05	0.05	0.05
FLJ33544	0.05	0.05	0.05	0.05	0.05	0.05
FLJ33581	0.05	0.05	0.05	0.05	0.05	0.05
FLJ33630	0.05	0.05	0.05	0.05	0.05	0.05
FLJ34503	0.05	0.05	0.05	0.05	0.05	0.05
FLJ35024	0.05	0.05	0.05	0.05	0.05	0.05
FLJ35282	0.05	0.05	0.05	0.05	0.05	0.05
FLJ35934	0.05	0.05	0.05	0.05	0.05	0.05
FLJ36000	0.05	0.05	0.05	0.05	0.05	0.05
FLJ36777	0.05	0.05	0.05	0.05	0.05	0.05
FLJ36848	0.05	0.05	0.05	0.05	0.05	0.05
FLJ37035	0.05	0.05	0.05	0.05	0.05	0.05
FLJ37448	0.05	0.05	0.05	0.05	0.05	0.05
FLJ37453	0.05	0.05	0.05	0.05	0.05	0.05
FLJ37505	0.05	0.05	0.05	0.05	0.05	0.05
FLJ37644	0.05	0.05	0.05	0.05	0.05	0.05
FLJ37786	0.05	0.05	0.05	0.05	0.05	0.05
FLJ38379	0.05	0.05	0.05	0.05	0.05	0.05
FLJ38576	0.05	0.05	0.05	0.05	0.05	0.05
FLJ38668	0.05	0.05	0.05	0.05	0.05	0.05
FLJ38717	0.05	0.05	0.05	0.05	0.05	0.05
FLJ38723	0.05	0.05	0.05	0.05	0.05	0.05
FLJ39080	0.05	0.05	0.05	0.05	0.05	0.05
