id	AA147-1	AA147-2	AA147-3	Day1-1	Day1-2	Day1-3	pval	qval
ENSG00000168038	32.0	25.0	32.0	83.0	102.0	82.0	4.38668559681624e-06	1.2741001173908566e-05
ENSG00000103067	268.0	299.0	345.0	607.0	628.0	550.0	4.388632476788012e-06	1.2744999344870916e-05
ENSG00000118816	2947.0	2814.0	3087.0	3214.0	3001.0	2913.0	4.409256503022845e-06	1.280322960928424e-05
ENSG00000136243	190.0	195.0	162.0	381.0	369.0	370.0	4.43206991930362e-06	1.2866424295759268e-05
ENSG00000204264	32.0	72.0	55.0	201.0	168.0	164.0	4.432171397894789e-06	1.2866424295759268e-05
ENSG00000124164	831.0	916.0	1129.0	935.0	828.0	844.0	4.460630019874927e-06	1.2947356676730094e-05
ENSG00000168517	29.0	33.0	19.0	82.0	94.0	88.0	4.469745752836738e-06	1.2972130953070464e-05
ENSG00000025293	558.0	545.0	575.0	1212.0	954.0	1042.0	4.475856143625718e-06	1.2988177800493953e-05
ENSG00000244242	25.0	11.0	15.0	4.0	3.0	4.0	4.492621804690223e-06	1.303513625933685e-05
ENSG00000147862	25.0	31.0	25.0	84.0	75.0	87.0	4.516459404123444e-06	1.3102598767226613e-05
ENSG00000205795	18.0	7.0	18.0	2.0	3.0	1.0	4.524730187307946e-06	1.312488908304396e-05
ENSG00000110917	3531.0	3609.0	4223.0	4010.0	3329.0	3598.0	4.569901193970807e-06	1.325419623383071e-05
ENSG00000137767	24.0	19.0	13.0	5.0	5.0	6.0	4.60317527572291e-06	1.3348969359794948e-05
ENSG00000111725	288.0	343.0	441.0	296.0	297.0	281.0	4.604838877428446e-06	1.335206103463001e-05
ENSG00000118402	159.0	177.0	159.0	342.0	326.0	342.0	4.6151554702703246e-06	1.3380238621449266e-05
ENSG00000134516	12.0	1.0	9.0	52.0	38.0	43.0	4.647895596213305e-06	1.347341067435189e-05
ENSG00000100949	181.0	174.0	215.0	128.0	170.0	130.0	4.656327255873491e-06	1.3496101840078457e-05
ENSG00000166986	1580.0	1765.0	2015.0	3170.0	3735.0	3521.0	4.67148409967993e-06	1.3538277159324005e-05
ENSG00000092470	92.0	73.0	92.0	262.0	185.0	205.0	4.674100844842361e-06	1.3544104198611544e-05
ENSG00000137877	65.0	39.0	52.0	31.0	12.0	19.0	4.694468682663809e-06	1.3601360255605879e-05
ENSG00000146909	291.0	281.0	296.0	593.0	532.0	504.0	4.7607961780057875e-06	1.3791743866981505e-05
ENSG00000121964	242.0	271.0	278.0	195.0	250.0	215.0	4.7847435323268845e-06	1.3859321285406207e-05
ENSG00000065060	364.0	428.0	437.0	892.0	875.0	711.0	4.7886636514713755e-06	1.386887851470073e-05
ENSG00000170293	22.0	10.0	11.0	53.0	58.0	67.0	4.802825548821709e-06	1.3908091556241898e-05
ENSG00000005001	52.0	94.0	122.0	41.0	23.0	42.0	4.823014301545182e-06	1.396474482983029e-05
ENSG00000250317	176.0	182.0	167.0	345.0	367.0	341.0	4.836595400580471e-06	1.4002253843343927e-05
ENSG00000185477	1.0	2.0	3.0	22.0	15.0	16.0	4.8499402749654695e-06	1.4039069342571675e-05
ENSG00000005175	365.0	418.0	450.0	769.0	917.0	778.0	4.854337850581364e-06	1.4049979011389942e-05
ENSG00000178951	305.0	289.0	312.0	310.0	255.0	269.0	4.884469081217781e-06	1.4135357492615095e-05
ENSG00000130822	4.0	11.0	15.0	101.0	54.0	43.0	4.906301434135178e-06	1.4196700524228773e-05
ENSG00000184207	230.875	226.075	232.513	428.97	470.035	421.043	4.912345980788837e-06	1.421235054799173e-05
ENSG00000149679	131.0	78.0	108.0	254.0	287.0	252.0	4.940370253944815e-06	1.4291579814227156e-05
ENSG00000175294	6.0	9.0	5.0	0.05	0.05	0.05	4.9668051965159475e-06	1.4366191525568455e-05
ENSG00000196639	33.0	13.0	8.0	3.0	0.05	0.05	4.988674120294854e-06	1.4427578693701192e-05
ENSG00000138670	91.0	112.0	179.0	80.0	35.0	37.0	4.993425182942217e-06	1.4439450383438111e-05
ENSG00000149476	233.0	219.0	261.0	459.0	504.0	426.0	4.99628383739908e-06	1.4445847446546415e-05
ENSG00000100564	97.0	105.0	87.0	57.0	74.0	56.0	5.0055891680737805e-06	1.4470879836862194e-05
ENSG00000047249	677.0	738.0	793.0	767.0	692.0	630.0	5.041886002627058e-06	1.4573926594322452e-05
ENSG00000269556	155.0	135.0	144.0	125.0	74.0	89.0	5.046933928737244e-06	1.458663120867708e-05
ENSG00000153446	0.05	1.0	0.05	16.0	7.0	18.0	5.050748765352867e-06	1.4595769127032266e-05
ENSG00000099203	241.0	213.0	266.0	211.0	218.0	206.0	5.075526389456121e-06	1.4665475591566581e-05
ENSG00000113391	307.0	322.0	350.0	321.0	312.0	265.0	5.127169536775508e-06	1.4812780560869073e-05
ENSG00000251493	22.0	23.0	15.0	2.0	6.0	8.0	5.175746818283679e-06	1.4951191073963981e-05
ENSG00000253910	55.96	50.72	55.2	36.48	20.88	31.28	5.177908193873983e-06	1.4955501409913648e-05
ENSG00000213638	28.0	24.0	17.0	84.0	67.0	78.0	5.2017939842032524e-06	1.5022549775780574e-05
